operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;2.4058855906666666E8;4.893134943133293E8;4.1276744E7;1.497947975E9;
OperationDeleteGraph;4.45330159E8;0.0;4.45330159E8;4.45330159E8;
OperationShutdownGraph;4.1341454946666664E8;1.1549277677003144E8;3526.0;5.23271765E8;
OperationDoGC;3.603516380733333E9;7853422.752574884;3.586526878E9;3.624814985E9;
OperationLoadGraphML-barabasi_2000_10000;1.989601712E9;0.0;1.989601712E9;1.989601712E9;
OperationGetManyVertices;346474.0;0.0;346474.0;346474.0;
OperationGetManyVertexProperties;1.0292257E7;0.0;1.0292257E7;1.0292257E7;
OperationGetManyEdges;868296.0;0.0;868296.0;868296.0;
OperationGetManyEdgeProperties;1.6953587E7;0.0;1.6953587E7;1.6953587E7;
OperationGetFirstNeighbor;29737.307;19590.520574215247;4826.0;209124.0;
OperationGetRandomNeighbor;45919.684;38563.24818357686;2750.0;601363.0;
OperationGetAllNeighbors;36195.096;26418.518084986965;2549.0;332544.0;
OperationGetKFirstNeighbors;34306.612;23458.37729736342;5286.0;176871.0;
OperationGetKRandomNeighbors;41389.814;30393.372816543466;2850.0;241156.0;
OperationGetKHopNeighbors;65120.816;115361.64541563252;4202.0;2067653.0;
OperationGetShortestPath;1835790.392;5675527.071017772;3743.0;4.1678303E7;
OperationGlobalClusteringCoefficient;1.71302006E8;0.0;1.71302006E8;1.71302006E8;
OperationNetworkAverageClusteringCoefficient;4.8187987E7;0.0;4.8187987E7;4.8187987E7;
