operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                    240.589          489.313        41.277        1497.948    
OperationDeleteGraph                                  445.330            0.000       445.330         445.330    
OperationShutdownGraph                                413.415          115.493         0.004         523.272    
OperationDoGC                                        3603.516            7.853      3586.527        3624.815    
OperationLoadGraphML-barabasi_2000_10000             1989.602            0.000      1989.602        1989.602    
OperationGetManyVertices                                0.346            0.000         0.346           0.346    
OperationGetManyVertexProperties                       10.292            0.000        10.292          10.292    
OperationGetManyEdges                                   0.868            0.000         0.868           0.868    
OperationGetManyEdgeProperties                         16.954            0.000        16.954          16.954    
OperationGetFirstNeighbor                               0.030            0.020         0.005           0.209    
OperationGetRandomNeighbor                              0.046            0.039         0.003           0.601    
OperationGetAllNeighbors                                0.036            0.026         0.003           0.333    
OperationGetKFirstNeighbors                             0.034            0.023         0.005           0.177    
OperationGetKRandomNeighbors                            0.041            0.030         0.003           0.241    
OperationGetKHopNeighbors                               0.065            0.115         0.004           2.068    
OperationGetShortestPath                                1.836            5.676         0.004          41.678    
OperationGlobalClusteringCoefficient                  171.302            0.000       171.302         171.302    
OperationNetworkAverageClusteringCoefficient           48.188            0.000        48.188          48.188    
