operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;1.56135865E8;3.847587949617355E8;2.6001476E7;1.542892671E9;
OperationDeleteGraph;3.95596869E8;0.0;3.95596869E8;3.95596869E8;
OperationShutdownGraph;3.798073496296296E8;8.273584746814443E7;2661.0;5.69711941E8;
OperationDoGC;3.6299668403333335E9;7618216.585635618;3.605872173E9;3.645613866E9;
OperationLoadGraphML-barabasi_2000_10000;2.237929719E9;0.0;2.237929719E9;2.237929719E9;
OperationGetManyVertices;311629.0;0.0;311629.0;311629.0;
OperationGetManyVertexProperties;1.1928277E7;0.0;1.1928277E7;1.1928277E7;
OperationGetManyEdges;882889.0;0.0;882889.0;882889.0;
OperationGetManyEdgeProperties;2.089837E7;0.0;2.089837E7;2.089837E7;
OperationGetFirstNeighbor;22515.239;14128.754145779421;4127.0;136000.0;
OperationGetRandomNeighbor;27333.546;26377.39055285575;2044.0;588885.0;
OperationGetAllNeighbors;29736.685;18646.2498298123;3325.0;146081.0;
OperationGetKFirstNeighbors;28286.1614;23107.412232306506;1852.0;316967.0;
OperationGetKRandomNeighbors;28629.2544;27953.110259849094;2147.0;661137.0;
OperationGetKHopNeighbors;94199.445;578581.5442960641;2420.0;1.9488063E7;
OperationGetShortestPath;1576984.806;5599788.584079377;2948.0;4.2556354E7;
OperationGlobalClusteringCoefficient;1.74825707E8;0.0;1.74825707E8;1.74825707E8;
OperationNetworkAverageClusteringCoefficient;4.8300496E7;0.0;4.8300496E7;4.8300496E7;
