operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                    156.136          384.759        26.001        1542.893    
OperationDeleteGraph                                  395.597            0.000       395.597         395.597    
OperationShutdownGraph                                379.807           82.736         0.003         569.712    
OperationDoGC                                        3629.967            7.618      3605.872        3645.614    
OperationLoadGraphML-barabasi_2000_10000             2237.930            0.000      2237.930        2237.930    
OperationGetManyVertices                                0.312            0.000         0.312           0.312    
OperationGetManyVertexProperties                       11.928            0.000        11.928          11.928    
OperationGetManyEdges                                   0.883            0.000         0.883           0.883    
OperationGetManyEdgeProperties                         20.898            0.000        20.898          20.898    
OperationGetFirstNeighbor                               0.023            0.014         0.004           0.136    
OperationGetRandomNeighbor                              0.027            0.026         0.002           0.589    
OperationGetAllNeighbors                                0.030            0.019         0.003           0.146    
OperationGetKFirstNeighbors                             0.028            0.023         0.002           0.317    
OperationGetKRandomNeighbors                            0.029            0.028         0.002           0.661    
OperationGetKHopNeighbors                               0.094            0.579         0.002          19.488    
OperationGetShortestPath                                1.577            5.600         0.003          42.556    
OperationGlobalClusteringCoefficient                  174.826            0.000       174.826         174.826    
OperationNetworkAverageClusteringCoefficient           48.300            0.000        48.300          48.300    
