id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1807678019;DONE;14771600;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];452386936;DONE;40574967;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];20365;DONE;40574967;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3514359397;DONE;19960207;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1574745467;DONE;23856407;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];4184266886;DONE;75778311;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];719746831;DONE;77379783;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3574012700;DONE;20253927;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];58500830;DONE;21840487;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];390059;1000;43348167;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];427711524;DONE;44148199;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3583496765;DONE;32293311;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];45872970;DONE;33610663;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];19636983;1000;59298943;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];482486484;DONE;60498991;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3594000323;DONE;32219207;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];44228552;DONE;33796159;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];913306;1000;71092199;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];458003077;DONE;71892231;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3594899342;DONE;32295711;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];40263505;DONE;34282007;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];26361344;1000;72814575;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];645100409;DONE;74014623;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3591661308;DONE;32296455;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];41564830;DONE;34390023;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[402];252727;v[1242];58465503;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[890];41370;v[1091];58465503;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[327];46391;v[1907];58465503;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[743];39239;v[1806];58465503;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1754];33346;DNE;58465503;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[779];34716;v[1448];58465503;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[762];47581;v[1834];58465503;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[647];36332;v[1490];58465503;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1659];45922;v[1760];58465503;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1116];39273;v[1745];58465503;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1326];29735;DNE;58465503;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[942];37501;v[1172];58465503;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1760];30104;DNE;58465503;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1538];37898;v[1709];58465503;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1410];30250;DNE;58465503;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1192];48089;v[1610];58465503;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[37];97348;v[1730];58465503;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[626];39623;v[1539];58465503;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1744];37186;v[1938];58465503;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1888];29563;DNE;58465503;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1136];37285;v[1706];58465503;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[70];70859;v[1824];58465503;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1787];37613;v[1860];58465503;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1038];37934;v[1760];58465503;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1098];39086;v[1933];58465503;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[27];65169;v[1679];58465503;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1760];9056;DNE;58465503;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[66];42777;v[1374];58465503;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[206];55583;v[1599];58465503;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[33];84415;v[1972];58465503;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[314];52579;v[1942];58465503;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1783];38103;v[1905];58465503;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1001];47866;v[1780];58465503;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1061];51197;v[1866];58465503;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[14];97328;v[1966];58465503;
60;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1484];46687;v[1854];58465503;
61;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[46];141352;v[1990];58465503;
62;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[78];60086;v[1902];58465503;
63;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1066];39566;v[1492];58465503;
64;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1983];29886;DNE;58465503;
