id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1748977446;DONE;14740640;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];380536058;DONE;40702503;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];18382;DONE;40702503;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3547119270;DONE;19961647;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1508533855;DONE;23857847;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];4019577802;DONE;74013247;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];876001665;DONE;75614719;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3648405378;DONE;20255471;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];56426220;DONE;21842031;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];448886;1000;42713111;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];322031404;DONE;43513143;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3615376188;DONE;32294855;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];58600201;DONE;33612207;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];29521862;1000;59300415;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];377544207;DONE;60500463;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3607877628;DONE;32220495;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];60118407;DONE;33797447;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1166139;1000;63801143;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];385404801;DONE;64601175;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3616480991;DONE;32297255;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];51913162;DONE;34279807;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];22554263;1000;72703023;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];378223680;DONE;73503055;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3618741058;DONE;32297999;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];50438723;DONE;34396031;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1586];149497;DNE;57474383;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1354];99551;v[1855];58523431;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[933];34342;v[1015];58523431;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[665];46665;v[1849];58523431;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1569];27898;DNE;58523431;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[731];34123;v[1103];58523431;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[299];40947;v[1875];58523431;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[165];56985;v[1925];58523431;
