id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1497947975;DONE;25195591;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];445330159;DONE;26670391;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3526;DONE;26670391;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3586526878;DONE;20059927;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1477987841;DONE;25159511;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];1989601712;DONE;67496743;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];511060853;DONE;69370303;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3598191825;DONE;20298199;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];51011287;DONE;22412567;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];346474;1000;39190815;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];464122199;DONE;40390863;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3596157660;DONE;32336111;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];42873085;DONE;34302479;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];10292257;1000;59864463;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];447261192;DONE;60664495;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3599464965;DONE;32261247;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];41276744;DONE;34270519;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];868296;1000;70802615;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];408091074;DONE;72002663;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3607587251;DONE;32337167;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];52505236;DONE;34435159;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];16953587;1000;74858663;
