id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1488991541;DONE;25220087;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];395596869;DONE;26420135;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2661;DONE;26420135;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3605872173;DONE;20067415;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1542892671;DONE;25166935;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];2237929719;DONE;69198967;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];569711941;DONE;71072527;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3613562503;DONE;20305711;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];51295993;DONE;22420079;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];311629;1000;42456103;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];385775937;DONE;43256135;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3629075781;DONE;32343623;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];53554776;DONE;34309991;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];11928277;1000;58888791;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];383929947;DONE;60088839;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3645613866;DONE;32267991;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];59479174;DONE;34265959;
