operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;2.6691976E7;5.7968251184413835E7;9889964.0;2.43578912E8;
OperationDeleteGraph;3.2568283E7;0.0;3.2568283E7;3.2568283E7;
OperationShutdownGraph;496860.6;362445.9162421892;2283.0;1243416.0;
OperationDoGC;3.4945287366E9;1.046481546940913E7;3.46598811E9;3.50977529E9;
OperationLoadGraphML-barabasi_2000_10000;8.609356657E9;0.0;8.609356657E9;8.609356657E9;
OperationGetManyVertices;7.4335871E7;0.0;7.4335871E7;7.4335871E7;
OperationGetManyVertexProperties;2.52112917E8;0.0;2.52112917E8;2.52112917E8;
OperationGetManyEdges;1.74181206E8;0.0;1.74181206E8;1.74181206E8;
OperationGetManyEdgeProperties;2.8219999E8;0.0;2.8219999E8;2.8219999E8;
OperationGetFirstNeighbor;333341.345;95170.19299554861;107540.0;741927.0;
OperationGetRandomNeighbor;290275.335;110531.31714543517;62974.0;720793.0;
OperationGetAllNeighbors;658208.368;1235620.709799756;57678.0;2.0432775E7;
OperationGetKFirstNeighbors;323413.33;174326.77679543407;59849.0;1085550.0;
OperationGetKRandomNeighbors;269114.001;140369.86169302504;60202.0;788333.0;
OperationGetKHopNeighbors;4072497.43;1.3741853739092533E7;78410.0;2.56603598E8;
OperationGetShortestPath;1.3765822984E7;3.3399659054814104E7;880146.0;2.33632277E8;
OperationGlobalClusteringCoefficient;3.2410898188E10;0.0;3.2410898188E10;3.2410898188E10;
OperationNetworkAverageClusteringCoefficient;7.115090723E9;0.0;7.115090723E9;7.115090723E9;
