operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     26.692           57.968         9.890         243.579    
OperationDeleteGraph                                   32.568            0.000        32.568          32.568    
OperationShutdownGraph                                  0.497            0.362         0.002           1.243    
OperationDoGC                                        3494.529           10.465      3465.988        3509.775    
OperationLoadGraphML-barabasi_2000_10000             8609.357            0.000      8609.357        8609.357    
OperationGetManyVertices                               74.336            0.000        74.336          74.336    
OperationGetManyVertexProperties                      252.113            0.000       252.113         252.113    
OperationGetManyEdges                                 174.181            0.000       174.181         174.181    
OperationGetManyEdgeProperties                        282.200            0.000       282.200         282.200    
OperationGetFirstNeighbor                               0.333            0.095         0.108           0.742    
OperationGetRandomNeighbor                              0.290            0.111         0.063           0.721    
OperationGetAllNeighbors                                0.658            1.236         0.058          20.433    
OperationGetKFirstNeighbors                             0.323            0.174         0.060           1.086    
OperationGetKRandomNeighbors                            0.269            0.140         0.060           0.788    
OperationGetKHopNeighbors                               4.072           13.742         0.078         256.604    
OperationGetShortestPath                               13.766           33.400         0.880         233.632    
OperationGlobalClusteringCoefficient                32410.898            0.000     32410.898       32410.898    
OperationNetworkAverageClusteringCoefficient         7115.091            0.000      7115.091        7115.091    
