operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;2.1114440259259257E7;5.293873074069456E7;6612644.0;2.90952142E8;
OperationDeleteGraph;2.6829067E7;0.0;2.6829067E7;2.6829067E7;
OperationShutdownGraph;518181.22222222225;394757.4353939892;1737.0;1668158.0;
OperationDoGC;3.5284161715185184E9;1.0150931054387642E7;3.495620262E9;3.563843496E9;
OperationLoadGraphML-barabasi_2000_10000;6.006282791E9;0.0;6.006282791E9;6.006282791E9;
OperationGetManyVertices;3.1462391E7;0.0;3.1462391E7;3.1462391E7;
OperationGetManyVertexProperties;2.59601494E8;0.0;2.59601494E8;2.59601494E8;
OperationGetManyEdges;1.68053435E8;0.0;1.68053435E8;1.68053435E8;
OperationGetManyEdgeProperties;2.92957109E8;0.0;2.92957109E8;2.92957109E8;
OperationGetFirstNeighbor;323235.398;96781.30884921733;100869.0;730240.0;
OperationGetRandomNeighbor;231652.791;102158.61607965983;56420.0;600845.0;
OperationGetAllNeighbors;621363.001;1033307.9988992743;42555.0;1.5199722E7;
OperationGetKFirstNeighbors;398283.0518;280321.94995131367;53453.0;1544535.0;
OperationGetKRandomNeighbors;349826.6442;244153.173271203;53835.0;1446671.0;
OperationGetKHopNeighbors;1.90855351948E7;9.236275905074814E7;42270.0;1.290756497E9;
OperationGetShortestPath;1.2664112874E7;3.097534473757021E7;857277.0;2.41421116E8;
OperationGlobalClusteringCoefficient;3.2093324196E10;0.0;3.2093324196E10;3.2093324196E10;
OperationNetworkAverageClusteringCoefficient;7.173690047E9;0.0;7.173690047E9;7.173690047E9;
