operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     21.114           52.939         6.613         290.952    
OperationDeleteGraph                                   26.829            0.000        26.829          26.829    
OperationShutdownGraph                                  0.518            0.395         0.002           1.668    
OperationDoGC                                        3528.416           10.151      3495.620        3563.843    
OperationLoadGraphML-barabasi_2000_10000             6006.283            0.000      6006.283        6006.283    
OperationGetManyVertices                               31.462            0.000        31.462          31.462    
OperationGetManyVertexProperties                      259.601            0.000       259.601         259.601    
OperationGetManyEdges                                 168.053            0.000       168.053         168.053    
OperationGetManyEdgeProperties                        292.957            0.000       292.957         292.957    
OperationGetFirstNeighbor                               0.323            0.097         0.101           0.730    
OperationGetRandomNeighbor                              0.232            0.102         0.056           0.601    
OperationGetAllNeighbors                                0.621            1.033         0.043          15.200    
OperationGetKFirstNeighbors                             0.398            0.280         0.053           1.545    
OperationGetKRandomNeighbors                            0.350            0.244         0.054           1.447    
OperationGetKHopNeighbors                              19.086           92.363         0.042        1290.756    
OperationGetShortestPath                               12.664           30.975         0.857         241.421    
OperationGlobalClusteringCoefficient                32093.324            0.000     32093.324       32093.324    
OperationNetworkAverageClusteringCoefficient         7173.690            0.000      7173.690        7173.690    
