id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];185475924;DONE;5154304;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];27185759;DONE;29828607;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];19850;DONE;29828607;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3429500582;DONE;20128511;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];297846202;DONE;20667543;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];7383774466;DONE;24220855;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];4096580;DONE;24220855;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3469501865;DONE;20237735;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];21344928;DONE;21050559;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];69128411;1000;39883783;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];475375;DONE;39883783;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3481157756;DONE;32409007;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];19138060;DONE;33227519;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];161858414;1000;61058839;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];384818;DONE;61058839;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3487374435;DONE;32410911;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];18062309;DONE;33319095;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];156684529;1000;57633559;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];468218;DONE;57633559;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3484309573;DONE;32411223;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];18278951;DONE;33423783;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];276942105;1000;66709783;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];434849;DONE;66709783;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3495094813;DONE;32412351;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];17793646;DONE;33474567;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1797];417392;DNE;56843319;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[841];796783;v[1098];56843319;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1105];281600;v[1168];56843319;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1061];273779;v[1369];56843319;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[724];254889;v[789];56843319;
