id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];201980511;DONE;5154304;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];52112041;DONE;28876055;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];8565;DONE;28876055;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3471734734;DONE;20129919;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];347021914;DONE;20668951;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];7306012587;DONE;24238967;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];4016433;DONE;24238967;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3486896919;DONE;20239143;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];20597474;DONE;21051967;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];38231705;1000;41342687;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];408582;DONE;41342687;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3517834697;DONE;32410415;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];19877380;DONE;33234615;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];293352314;1000;61258975;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];381164;DONE;61258975;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3534343192;DONE;32412319;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];17401387;DONE;33324199;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];155434818;1000;60633727;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];385401;DONE;60633727;
