id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10580502;DONE;21399191;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];32568283;DONE;21399191;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2283;DONE;21399191;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3465988110;DONE;20232903;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];243578912;DONE;21307711;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];8609356657;DONE;75657223;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];890967;DONE;75657223;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3486733010;DONE;20257727;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11797334;DONE;21332535;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];74335871;1000;39592335;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];310080;DONE;39592335;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3499497034;DONE;32430855;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11412875;DONE;33422903;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];252112917;1000;61200727;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];342213;DONE;61200727;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3509775290;DONE;32430679;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10105881;DONE;33451679;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];174181206;1000;58160423;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];346574;DONE;58160423;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3496732341;DONE;32430919;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11153926;DONE;33487951;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];282199990;1000;63363367;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];484428;DONE;63363367;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3495404064;DONE;32430855;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11619107;DONE;33503743;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1343];271889;v[1604];58180167;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1948];148893;DNE;58180167;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1805];119659;DNE;58180167;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1008];116467;DNE;58180167;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[705];173093;v[860];58180167;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1440];116272;DNE;58180167;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[347];190035;v[393];58180167;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1013];124158;DNE;58180167;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[725];184906;v[1154];58180167;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[222];254107;v[259];58180167;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1388];199492;v[1582];58180167;
