id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6612644;DONE;21412511;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];26829067;DONE;21412511;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1737;DONE;21412511;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3495620262;DONE;20234311;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];290952142;DONE;21309119;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];6006282791;DONE;75651055;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];894654;DONE;75651055;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3516128427;DONE;20259135;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10976889;DONE;21333943;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];31462391;1000;39583375;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];252193;DONE;39583375;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3527490789;DONE;32432263;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11908128;DONE;33424311;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];259601494;1000;62197767;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];356736;DONE;62197767;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3532056385;DONE;32432295;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];13283390;DONE;33453247;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];168053435;1000;59500639;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];476513;DONE;59500639;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3528991890;DONE;32432119;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];12465242;DONE;33489103;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];292957109;1000;66138615;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];359525;DONE;66138615;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3530427129;DONE;32432263;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10320512;DONE;33505111;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1264];296793;DNE;57107767;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[327];238701;v[500];57107767;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[617];198231;v[755];57107767;
