id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];213863038;DONE;20230927;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];15269710;DONE;20230927;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1537;DONE;20230927;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3419225126;DONE;19181743;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];247173541;DONE;20259623;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];2356602784191;DONE;160587887;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];120560277614;DONE;160587887;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455545822;DONE;19197303;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];43377471;DONE;20279303;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];26230435;1000;178190759;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2578099;DONE;178190759;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5597351730;DONE;119557607;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1722215;DONE;120637071;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];46210664;1000;171465543;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];19929358;DONE;171465543;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5598165636;DONE;119557591;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1834971;DONE;120635415;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];31636655;1000;121907279;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1045285;DONE;121907279;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5592414525;DONE;119557847;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1096501;DONE;120635671;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];50265686;1000;173489199;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];983784;DONE;173489199;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5595149152;DONE;119557639;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1236554;DONE;120635463;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[449377];105686;v[530560];150907087;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[807595];78895;v[809859];150907087;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[320953];82204;v[630862];150907087;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[632681];84137;v[712589];150907087;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[176898];87667;v[243653];150907087;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[901327];25450;DNE;150907087;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[219865];80379;v[255206];150907087;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[786643];21118;DNE;150907087;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[984427];19225;DNE;150907087;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[574804];20733;DNE;150907087;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[515902];81069;v[543033];150907087;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[203253];140730;v[574024];150907087;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[395208];74602;v[725403];150907087;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[290727];77157;v[362273];150907087;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[32645];77893;v[60930];150907087;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[216709];75225;v[285853];150907087;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[801382];75728;v[866446];150907087;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[858797];20755;DNE;150907087;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[86281];77812;v[98718];150907087;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[37977];74780;v[99979];150907087;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[6822];80706;v[8768];150907087;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[289374];76317;v[524007];150907087;
