id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];163250307;DONE;648664;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];1276096;DONE;24381031;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];7773;DONE;24381031;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3391752147;DONE;19993239;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];530072;DONE;20208215;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];247109762823;DONE;175471095;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];189228951;DONE;175471095;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3474659718;DONE;19395927;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2911315;DONE;20474343;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1421311;1000;150370439;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1631287;DONE;150370439;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5679958422;DONE;119775479;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2707199;DONE;120851383;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];21158324;1000;158549783;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1245482;DONE;158549783;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5663901411;DONE;119775759;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2699585;DONE;120851271;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1512040;1000;140279535;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1200622;DONE;140279535;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5638558118;DONE;119776039;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2724441;DONE;120851551;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];46501703;1000;132750943;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1603973;DONE;132750943;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5590539233;DONE;119776319;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];3590682;DONE;120851831;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[908860];292345;DNE;173556967;
