operation;dup-mean;dup-stdev;dup-min;dup-max;dup-warmup-mean;dup-warmup-stdev;dup-warmup-min;dup-warmup-max;
OperationOpenGraph;1.5099932166666666E7;4.570207225732078E7;780459.0;1.77735029E8;2.3738008708333332E7;8.167720447235791E7;777277.0;3.88344379E8;
OperationDeleteGraph;644344.0;0.0;644344.0;644344.0;1479478.0;0.0;1479478.0;1479478.0;
OperationShutdownGraph;1.5926807519166667E9;7.636254756320177E9;1064.0;3.8214871946E10;1.1551427491666667E9;5.537799414481041E9;14476.0;2.7713495623E10;
OperationDoGC;5.46636948725E9;6.110722236911203E8;3.416867701E9;5.827417283E9;5.452816645166667E9;6.005176470172297E8;3.434119061E9;5.74463674E9;
OperationLoadGraphML-barabasi_1000000_5000000;3.60602356601E11;0.0;3.60602356601E11;3.60602356601E11;5.37098326057E11;0.0;5.37098326057E11;5.37098326057E11;
OperationGetManyVertices;3543964.0;0.0;3543964.0;3543964.0;3686974.0;0.0;3686974.0;3686974.0;
OperationGetManyVertexProperties;2.4640029E7;0.0;2.4640029E7;2.4640029E7;2.9845305E7;0.0;2.9845305E7;2.9845305E7;
OperationGetManyEdges;8958070.0;0.0;8958070.0;8958070.0;9215726.0;0.0;9215726.0;9215726.0;
OperationGetManyEdgeProperties;3.1696017E7;0.0;3.1696017E7;3.1696017E7;2.9815377E7;0.0;2.9815377E7;2.9815377E7;
OperationGetFirstNeighbor;25431.948;5300.513627687041;14864.0;97358.0;31446.942;33633.74641048237;15787.0;880353.0;
OperationGetRandomNeighbor;32946.09;13142.697351072944;14952.0;175367.0;45994.694;27934.721871469632;16215.0;310672.0;
OperationGetAllNeighbors;44809.362;44307.079990978375;11349.0;829683.0;59656.159;64126.53052121032;12167.0;545290.0;
OperationGetKFirstNeighbors;35518.4846;20239.884623232494;11008.0;186059.0;43606.9382;23008.5417259326;8451.0;191765.0;
OperationGetKRandomNeighbors;37548.8908;23734.1261008463;8663.0;304933.0;48960.1496;44447.77735084647;11942.0;2264439.0;
OperationGetKHopNeighbors;5808000.3286;1.81094308982272E8;11575.0;1.2257307977E10;4399761.4088;1.0447134940814526E8;11098.0;6.921077885E9;
