id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];12464632;DONE;0;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];12691;DONE;23700591;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];6508;DONE;23700591;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3378066479;DONE;19283959;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];40541;DONE;19498935;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];18688705337;DONE;163403919;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1419;DONE;163403919;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3447165302;DONE;19385703;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8312;DONE;20467839;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];136802;1000;20467839;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1757;DONE;20467839;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3400146600;DONE;19385983;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8270;DONE;20468119;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];173607;1000;20468119;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1603;DONE;20468119;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3398548647;DONE;19386263;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8089;DONE;20468399;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];650974;1000;20468399;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2008;DONE;20468399;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3401232152;DONE;19385295;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7825;DONE;20467431;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];208931;1000;20467431;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2081;DONE;20467431;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3394792637;DONE;19385575;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8228;DONE;20467711;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];952729;v[0];20467711;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];19308;v[0];20467711;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];18025;v[0];20467711;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17777;v[0];20467711;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];18293;v[0];20467711;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17952;v[0];20467711;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17952;v[0];20467711;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];16174;DNE;20467711;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17999;v[0];20467711;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17745;v[0];20467711;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17789;v[0];20467711;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17582;v[0];20467711;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17796;v[0];20467711;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];18051;v[0];20467711;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17768;v[0];20467711;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];19279;v[0];20467711;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17657;v[0];20467711;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17571;v[0];20467711;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17464;v[0];20467711;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17844;v[0];20467711;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17774;v[0];20467711;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17562;v[0];20467711;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17570;v[0];20467711;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17564;v[0];20467711;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17369;v[0];20467711;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17725;v[0];20467711;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17669;v[0];20467711;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17641;v[0];20467711;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];19299;v[0];20467711;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17722;v[0];20467711;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17704;v[0];20467711;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17797;v[0];20467711;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8170;DNE;20467711;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17736;v[0];20467711;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17903;v[0];20467711;
60;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17576;v[0];20467711;
61;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17760;v[0];20467711;
62;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17690;v[0];20467711;
63;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17581;v[0];20467711;
64;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17524;v[0];20467711;
65;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17608;v[0];20467711;
66;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17603;v[0];20467711;
67;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17757;v[0];20467711;
68;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17848;v[0];20467711;
69;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17752;v[0];20467711;
70;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];19325;v[0];20467711;
71;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8269;v[0];20467711;
72;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8120;v[0];20467711;
73;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8220;v[0];20467711;
74;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8038;v[0];20467711;
75;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];3821;DNE;20467711;
76;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8119;v[0];20467711;
77;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8177;v[0];20467711;
78;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8193;v[0];20467711;
79;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];3902;DNE;20467711;
80;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];8259;v[0];20467711;
