operation;hollow-mean;hollow-stdev;hollow-min;hollow-max;hollow-warmup-mean;hollow-warmup-stdev;hollow-warmup-min;hollow-warmup-max;
OperationOpenGraph;15792.083333333334;18277.909592630902;9306.0;80535.0;529039.375;2488751.4028849825;7215.0;1.2464632E7;
OperationDeleteGraph;7856.0;0.0;7856.0;7856.0;12691.0;0.0;12691.0;12691.0;
OperationShutdownGraph;1888.4583333333333;575.1676552077857;1067.0;2986.0;2069.5416666666665;1430.4636480050408;916.0;6617.0;
OperationDoGC;3.4072953471666665E9;1.2823543169664865E7;3.393907354E9;3.444854296E9;3.3999183859583335E9;1.1239425491938928E7;3.378066479E9;3.447165302E9;
OperationLoadGraphML-barabasi_1000000_5000000;1.7834107523E10;0.0;1.7834107523E10;1.7834107523E10;1.8688705337E10;0.0;1.8688705337E10;1.8688705337E10;
OperationGetManyVertices;94380.0;0.0;94380.0;94380.0;136802.0;0.0;136802.0;136802.0;
OperationGetManyVertexProperties;145869.0;0.0;145869.0;145869.0;173607.0;0.0;173607.0;173607.0;
OperationGetManyEdges;901995.0;0.0;901995.0;901995.0;650974.0;0.0;650974.0;650974.0;
OperationGetManyEdgeProperties;143964.0;0.0;143964.0;143964.0;208931.0;0.0;208931.0;208931.0;
OperationGetFirstNeighbor;3426.84;1777.469784384531;1178.0;32262.0;11065.433;29979.332015865733;3698.0;952729.0;
OperationGetRandomNeighbor;7454.773;3714.1482608359893;1521.0;39187.0;12277.299;4951.89621131128;4082.0;97590.0;
OperationGetAllNeighbors;3779.321;1709.737071002147;1559.0;21113.0;8867.565;4234.839633773043;3903.0;73991.0;
OperationGetKFirstNeighbors;252.1846;120.65911371645335;102.0;1211.0;5261.644;4445.0245895904745;238.0;78897.0;
OperationGetKRandomNeighbors;1160.0892;722.9479206992446;353.0;25663.0;5851.2764;5854.480596159084;889.0;156471.0;
OperationGetKHopNeighbors;1.58855767394E7;4.773609425704816E7;530.0;4.97585351E8;1.34289158218E7;4.1912936246798284E7;513.0;4.06656987E8;
