operation;hollow-mean;hollow-stdev;hollow-min;hollow-max;hollow-warmup-mean;hollow-warmup-stdev;hollow-warmup-min;hollow-warmup-max;
OperationOpenGraph;13971.583333333334;13935.810124509762;8999.0;72203.0;762105.875;3609341.645531808;6491.0;1.8071876E7;
OperationDeleteGraph;3194.0;0.0;3194.0;3194.0;13347.0;0.0;13347.0;13347.0;
OperationShutdownGraph;1709.4166666666667;284.2302348253769;904.0;2517.0;1988.2083333333333;1465.1575279120066;1025.0;6806.0;
OperationDoGC;3.4262408547083335E9;1.0413795024323644E7;3.420716324E9;3.467877923E9;3.4279177875416665E9;1.7149646163109515E7;3.404729104E9;3.473819868E9;
OperationLoadGraphML-barabasi_1000000_5000000;1.8369478874E10;0.0;1.8369478874E10;1.8369478874E10;1.9505719043E10;0.0;1.9505719043E10;1.9505719043E10;
OperationGetManyVertices;94869.0;0.0;94869.0;94869.0;136165.0;0.0;136165.0;136165.0;
OperationGetManyVertexProperties;147165.0;0.0;147165.0;147165.0;175657.0;0.0;175657.0;175657.0;
OperationGetManyEdges;411560.0;0.0;411560.0;411560.0;448606.0;0.0;448606.0;448606.0;
OperationGetManyEdgeProperties;75916.0;0.0;75916.0;75916.0;103646.0;0.0;103646.0;103646.0;
OperationGetFirstNeighbor;1267.512;448.044897143132;1028.0;5555.0;3686.02;2061.5852714840594;2525.0;45342.0;
OperationGetRandomNeighbor;1732.969;1323.093144128182;1360.0;39131.0;3454.511;1720.2378695631041;2981.0;49474.0;
OperationGetAllNeighbors;1646.265;594.965629910669;1347.0;10404.0;3691.149;1905.3228421448662;2715.0;52227.0;
OperationGetKFirstNeighbors;1272.6372;1169.9911479905134;137.0;18660.0;3400.9354;1291.0886916191475;2810.0;49480.0;
OperationGetKRandomNeighbors;2123.2162;1581.6351162823767;599.0;27305.0;4579.15;2003.5933548252501;3069.0;72926.0;
OperationGetKHopNeighbors;650.82;261.73791777272226;451.0;4646.0;3789.0094;2573.8213853551742;462.0;72900.0;
