id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];160817336;DONE;-47150960;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2477535;DONE;25686639;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];12716;DONE;25686639;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3461762077;DONE;19404791;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6781466;DONE;19626927;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];3323500792755;DONE;360963927;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];520435;DONE;360963927;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3573861644;DONE;19461031;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];549377730;DONE;20538583;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];23178017;1000;358794887;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];648302;DONE;358794887;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9431769908;DONE;319788623;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7073138;DONE;320865151;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];43161702;1000;331507367;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];322096;DONE;331507367;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9539551063;DONE;319748847;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7418283;DONE;320825375;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];82030684;1000;356268543;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];723401;DONE;356268543;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9425066984;DONE;319776567;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6637546;DONE;320853095;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];37174146;1000;483661911;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];539249;DONE;482252823;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9382189712;DONE;319760399;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6706945;DONE;320836135;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3b83a894-fe6f-466a-87b6-9d3d90bf7a49];805229;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#24b59898-2603-4bec-ac72-9f471184ed48];363968975;
