operation;rdf-mean;rdf-stdev;rdf-min;rdf-max;rdf-warmup-mean;rdf-warmup-stdev;rdf-warmup-min;rdf-warmup-max;
OperationOpenGraph;1.3474340916666666E8;6.194189265947826E8;2525009.0;3.105366459E9;3.6503305875E7;1.113281905924288E8;5945841.0;5.4937773E8;
OperationDeleteGraph;767616.0;0.0;767616.0;767616.0;2477535.0;0.0;2477535.0;2477535.0;
OperationShutdownGraph;3296475.5833333335;5641445.262850601;1039.0;1.965737E7;2974488.0;5414700.363565421;12716.0;2.1963896E7;
OperationDoGC;8.964803352791666E9;1.640699084127945E9;3.509264785E9;9.978414786E9;8.901122989166666E9;1.6284982507545867E9;3.461762077E9;9.939015997E9;
OperationLoadGraphML-barabasi_1000000_5000000;3.704432998546E12;0.0;3.704432998546E12;3.704432998546E12;3.323500792755E12;0.0;3.323500792755E12;3.323500792755E12;
OperationGetManyVertices;1.8882049E7;0.0;1.8882049E7;1.8882049E7;2.3178017E7;0.0;2.3178017E7;2.3178017E7;
OperationGetManyVertexProperties;1.23521363E8;0.0;1.23521363E8;1.23521363E8;4.3161702E7;0.0;4.3161702E7;4.3161702E7;
OperationGetManyEdges;8.6691074E7;0.0;8.6691074E7;8.6691074E7;8.2030684E7;0.0;8.2030684E7;8.2030684E7;
OperationGetManyEdgeProperties;2.30704706E9;0.0;2.30704706E9;2.30704706E9;3.7174146E7;0.0;3.7174146E7;3.7174146E7;
OperationGetFirstNeighbor;49120.215;15750.000772215051;15442.0;270073.0;55396.479;122610.22130570341;16583.0;3827647.0;
OperationGetRandomNeighbor;67873.855;123002.46528062744;11139.0;3383583.0;72131.507;56369.249688619726;12659.0;836362.0;
OperationGetAllNeighbors;129536.652;437951.6295174397;11583.0;1.3078439E7;156177.308;458074.97029562003;12775.0;1.2728454E7;
OperationGetKFirstNeighbors;112468.7292;208313.39829231202;12451.0;1.1912749E7;127012.6208;260091.8576720082;14825.0;1.4974472E7;
OperationGetKRandomNeighbors;75493.2816;152810.06131437514;7604.0;7274942.0;88678.4526;251262.37467766498;8891.0;1.6026391E7;
OperationGetKHopNeighbors;4.11367990096E7;6.822986444252361E8;7696.0;2.4514385246E10;6.06835249412E7;1.671273758401583E9;7347.0;8.1033745551E10;
