operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;756421.9230769231;129981.55153622114;562086.0;1062319.0;
OperationGetManyVertices;1118405.0;0.0;1118405.0;1118405.0;
OperationShutdownGraph;1.0741513384615384E8;3.202998546460695E8;265172.0;1.212749732E9;
OperationDoGC;3.426445670076923E9;5758212.25031233;3.415465937E9;3.43692212E9;
OperationGetManyVertexProperties;3237932.0;0.0;3237932.0;3237932.0;
OperationGetManyEdges;1235806.0;0.0;1235806.0;1235806.0;
OperationGetManyEdgeProperties;2412427.0;0.0;2412427.0;2412427.0;
OperationGetFirstNeighbor;52904.546;13990.491145842012;17982.0;324509.0;
OperationGetRandomNeighbor;36242.32;13589.471749026889;15807.0;240258.0;
OperationGetAllNeighbors;37011.071;21738.88464047682;17915.0;368022.0;
OperationGetKFirstNeighbors;45135.988;17193.98405971857;18293.0;224373.0;
OperationGetKRandomNeighbors;50076.408;22737.0362739196;17763.0;243177.0;
OperationGetKHopNeighbors;98305.247;155731.72067103736;17876.0;1959555.0;
OperationGetShortestPath;1362580.328;3316396.4120076294;17244.0;2.134755E7;
OperationGlobalClusteringCoefficient;2.73453654E8;0.0;2.73453654E8;2.73453654E8;
OperationNetworkAverageClusteringCoefficient;8.8538201E7;0.0;8.8538201E7;8.8538201E7;
