operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.756            0.130         0.562           1.062    
OperationGetManyVertices                                1.118            0.000         1.118           1.118    
OperationShutdownGraph                                107.415          320.300         0.265        1212.750    
OperationDoGC                                        3426.446            5.758      3415.466        3436.922    
OperationGetManyVertexProperties                        3.238            0.000         3.238           3.238    
OperationGetManyEdges                                   1.236            0.000         1.236           1.236    
OperationGetManyEdgeProperties                          2.412            0.000         2.412           2.412    
OperationGetFirstNeighbor                               0.053            0.014         0.018           0.325    
OperationGetRandomNeighbor                              0.036            0.014         0.016           0.240    
OperationGetAllNeighbors                                0.037            0.022         0.018           0.368    
OperationGetKFirstNeighbors                             0.045            0.017         0.018           0.224    
OperationGetKRandomNeighbors                            0.050            0.023         0.018           0.243    
OperationGetKHopNeighbors                               0.098            0.156         0.018           1.960    
OperationGetShortestPath                                1.363            3.316         0.017          21.348    
OperationGlobalClusteringCoefficient                  273.454            0.000       273.454         273.454    
OperationNetworkAverageClusteringCoefficient           88.538            0.000        88.538          88.538    
