id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];33400204;DONE;537792;
1;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];4452641;1000;45855367;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1289891;DONE;45855367;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3411977540;DONE;31924943;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2511905;DONE;32193663;
5;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];5229836;1000;44286103;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];367643;DONE;44286103;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3423560618;DONE;31932431;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];774841;DONE;32201151;
9;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];4084758;1000;45468479;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];357451;DONE;45468479;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3438549615;DONE;31863943;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];761361;DONE;32535703;
13;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];2107713;1000;40221143;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];291343;DONE;40221143;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3425369293;DONE;31864191;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];764527;DONE;32677015;
17;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1542];457222;v[1657];44056551;
18;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1671];87207;DNE;44056551;
19;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1305];44989;v[1499];44056551;
20;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2015];30413;DNE;44056551;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1701];39995;v[1979];44056551;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1402];74191;v[1668];44056551;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1132];89011;v[1214];44056551;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1369];49924;v[1408];44056551;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1939];47083;DNE;44056551;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1070];90431;v[1097];44056551;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1265];60272;v[1322];44056551;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1813];35620;DNE;44056551;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1790];35298;DNE;44056551;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1685];48489;v[1829];44056551;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2009];35204;DNE;44056551;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1220];68204;v[1323];44056551;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1815];37768;DNE;44056551;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1756];47248;v[1799];44056551;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1690];71112;v[1718];44056551;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1715];47899;v[1768];44056551;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1652];46077;DNE;44056551;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1688];35525;DNE;44056551;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1335];51426;v[1392];44056551;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1300];47706;v[1303];44056551;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1123];53342;v[1124];44056551;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1118];51258;v[1311];44056551;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1789];35588;DNE;44056551;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1455];49453;v[1513];44056551;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1829];35382;DNE;44056551;
