id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];862812;DONE;20773631;
1;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1118405;1000;45496103;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];325586;DONE;45496103;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3430233122;DONE;31600607;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];780876;DONE;32675415;
5;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];3237932;1000;44498303;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];302455;DONE;44498303;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424112941;DONE;31600607;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1062319;DONE;32675415;
9;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1235806;1000;42274879;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];265172;DONE;42274879;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3428317088;DONE;31603839;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];764775;DONE;32678647;
13;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];2412427;1000;42074207;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];315558;DONE;42074207;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3418511376;DONE;31603807;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];562086;DONE;32678615;
17;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1327];324509;v[1664];44501503;
18;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1186];86778;v[1194];44501503;
19;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1305];43903;v[1499];44501503;
20;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1348];26387;v[1442];44501503;
