operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1139998.7272727273;91827.88107906593;1081581.0;1357803.0;
OperationGetManyVertices;2040743.5;584998.5;1455745.0;2625742.0;
OperationShutdownGraph;1074250.8181818181;529783.7595386216;728095.0;2421862.0;
OperationDoGC;3.4453352217272725E9;8281531.976942761;3.437652507E9;3.46663945E9;
OperationGetManyEdges;9357842.5;129395.5;9228447.0;9487238.0;
OperationGetFirstNeighbor;33363.163;16475.42881330957;10892.0;166723.0;
OperationGetRandomNeighbor;47661.3055;46278.80441019591;8878.0;796498.0;
OperationGetAllNeighbors;60927.577;67485.7324320117;10270.0;789582.0;
OperationGetKFirstNeighbors;31906.7035;11553.561884872905;12884.0;130659.0;
OperationGetKRandomNeighbors;52550.7235;44095.72425356056;9441.0;485667.0;
OperationGetKHopNeighbors;210814.0375;587416.0358776592;7673.0;1.0534055E7;
OperationGetShortestPath;2372431.015;6843361.2845106535;8357.0;1.19298836E8;
OperationGlobalClusteringCoefficient;8.81834959E8;3136904.0;8.78698055E8;8.84971863E8;
OperationNetworkAverageClusteringCoefficient;1.976881825E8;372954.5;1.97315228E8;1.98061137E8;
