operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.100            0.139         0.741           1.337    
OperationGetManyVertices                                4.497            2.952         2.016          13.454    
OperationShutdownGraph                                 17.620           29.508         0.750         102.199    
OperationDoGC                                        3452.002            5.671      3440.968        3458.761    
OperationGetManyEdges                                  15.010            9.232         6.713          61.774    
OperationGetFirstNeighbor                               0.041            0.041         0.008           5.156    
OperationGetRandomNeighbor                              0.081            0.757         0.008          47.162    
OperationGetAllNeighbors                                0.108            1.373         0.008         224.010    
OperationGetKFirstNeighbors                             0.055            0.040         0.007           1.154    
OperationGetKRandomNeighbors                            0.091            0.091         0.008           7.247    
OperationGetKHopNeighbors                               0.295            0.884         0.005          37.598    
OperationGetShortestPath                               19.960           55.823         0.002         513.560    
OperationGlobalClusteringCoefficient                 9934.315           60.499      9761.633       10024.170    
OperationNetworkAverageClusteringCoefficient         2413.576           49.827      2166.094        2466.858    
