id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2067840;DONE;21783487;
3;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];2682776;1000;36310839;
1;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];3255083;1000;42437583;
2;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];3190956;1000;42437583;
4;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];4416688;1000;42437583;
5;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];760930;DONE;42437583;
6;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3443963395;DONE;31613727;
7;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1137275;DONE;31930807;
9;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];9880806;1000;61435351;
8;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];9374258;1000;69580943;
10;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];15482849;1000;69580943;
11;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];14807797;1000;69580943;
12;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1034622;DONE;69580943;
13;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3428462704;DONE;31614015;
14;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1106256;DONE;31906407;
15;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[978];157813;DNE;72000623;
17;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[692];97351;v[745];76440631;
18;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[615];37096;v[853];77540983;
19;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[280];31887;v[308];77850951;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[121];35861;v[151];78470887;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[782];26614;DNE;79400791;
16;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[286];37632;v[461];80020727;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[620];34670;v[646];80330695;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[190];33883;v[287];80640663;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[180];26869;v[300];80640663;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[880];15675;DNE;80640663;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[514];36285;v[697];80640663;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[847];29965;v[903];80640663;
