operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.225812423076923E7;3034268.764589664;4.7872493E7;5.8395061E7;
OperationGetManyVertices;284604.875;289788.4227610885;75891.0;1191139.0;
OperationShutdownGraph;4.517999986923077E8;8.599092257473494E7;3.78524983E8;6.95237864E8;
OperationDoGC;3.5205899283076925E9;7083524.551917373;3.510263923E9;3.534015008E9;
OperationGetManyVertexProperties;6354110.5;1.6087611978092592E7;170609.0;6.6540249E7;
OperationGetManyEdges;4360319.4375;1.0566408197754228E7;217560.0;4.0700585E7;
OperationGetManyEdgeProperties;1.49938948125E7;1.809538170903559E7;500601.0;6.3456382E7;
OperationGetFirstNeighbor;11750.103;54625.33665582552;2272.0;5881704.0;
OperationGetRandomNeighbor;13560.0786875;156683.3505805506;1881.0;1.8676879E7;
OperationGetAllNeighbors;15194.739;150424.94480195048;2123.0;1.8386489E7;
OperationGetKFirstNeighbors;13161.0389375;102648.17783575071;2304.0;1.2446561E7;
OperationGetKRandomNeighbors;15722.386875;39062.483461096876;2356.0;2414537.0;
OperationGetKHopNeighbors;43496.246875;367860.53555653756;2414.0;4.2444477E7;
OperationGetShortestPath;1142328.7525;3564636.8164486857;1921.0;5.7856158E7;
OperationGlobalClusteringCoefficient;2.236069138125E8;2.5133531495648112E7;1.52453201E8;2.54137049E8;
OperationNetworkAverageClusteringCoefficient;5.43675340625E7;1.277846333780271E7;2.8551213E7;7.8815449E7;
