operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     52.856            6.245        47.330          72.394    
OperationGetManyVertices                                0.197            0.046         0.148           0.271    
OperationShutdownGraph                                508.068           99.107       373.669         696.622    
OperationDoGC                                        3518.842            5.793      3507.199        3531.301    
OperationGetManyVertexProperties                       12.724            1.575        11.336          15.401    
OperationGetManyEdges                                   0.932            0.062         0.839           1.011    
OperationGetManyEdgeProperties                         32.330            6.792        26.492          43.549    
OperationGetFirstNeighbor                               0.029            0.084         0.005           4.913    
OperationGetRandomNeighbor                              0.020            0.066         0.002           2.301    
OperationGetAllNeighbors                                0.021            0.056         0.002           2.950    
OperationGetKFirstNeighbors                             0.017            0.058         0.002           3.278    
OperationGetKRandomNeighbors                            0.021            0.033         0.003           0.720    
OperationGetKHopNeighbors                               0.042            0.127         0.003           4.703    
OperationGetShortestPath                                1.188            3.791         0.002          34.290    
OperationGlobalClusteringCoefficient                  103.342           10.328        95.044         120.995    
OperationNetworkAverageClusteringCoefficient           46.933            3.801        40.983          51.235    
