id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];39544957;DONE;23290247;
1;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];430441;1000;68578591;
2;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];342820;1000;68578591;
3;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];540166319;DONE;69378623;
4;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3522319135;DONE;32072367;
5;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];48922355;DONE;33428175;
7;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];13756609;1000;60499351;
6;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];13061804;1000;60499351;
8;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];519124268;DONE;61299383;
9;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3528855108;DONE;32040791;
10;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];57759714;DONE;33938871;
12;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1001293;1000;61920519;
11;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];910811;1000;61920519;
13;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];534602275;DONE;63120567;
14;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3520328999;DONE;32092423;
15;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];54892223;DONE;33767039;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];37665896;1000;61153303;
16;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];47181395;1000;61687615;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];481869919;DONE;62887663;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3521818340;DONE;32092887;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];53070570;DONE;33713199;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[548];113548;v[723];57927551;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[647];131190;v[661];57927551;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[528];335288;v[534];57927551;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[642];56353;DNE;57927551;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[30];418103;v[953];57927551;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[350];101975;v[723];57927551;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[997];79000;DNE;57927551;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[54];229642;v[946];57927551;
