id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];212463010;DONE;20494255;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];11506767;DONE;20494255;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1706;DONE;20494255;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3463543031;DONE;19444943;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];206570623;DONE;20522887;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];1221145803;DONE;41235103;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];352435372;DONE;41235103;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3459347966;DONE;19445215;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1842288;DONE;20523159;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];13443923;1000;48121463;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];22586304;DONE;48121463;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3473953796;DONE;31530247;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1872482;DONE;32560007;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];33013040;1000;58305215;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];26686369;DONE;58305215;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3479498433;DONE;31530223;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1781464;DONE;32559983;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];17396858;1000;61521599;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];69851354;DONE;61521599;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3480771745;DONE;31530247;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1784247;DONE;32599383;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];37132197;1000;70444111;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];20548918;DONE;70444111;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3476197911;DONE;31530271;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1777209;DONE;32606231;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[361];70189;v[424];44441791;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[972];15415;DNE;44441791;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[355];45719;v[869];44441791;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[354];48426;v[376];44441791;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[820];35822;v[831];44441791;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[867];43131;v[920];44441791;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[335];48630;v[420];44441791;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[370];56698;v[683];44441791;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[35];62621;v[36];44441791;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[216];47549;v[314];44441791;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[74];50783;v[101];44441791;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[351];38227;v[883];44441791;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[365];50335;v[577];44441791;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[148];49440;v[187];44441791;
