operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;bdb-warmup-mean;bdb-warmup-stdev;bdb-warmup-min;bdb-warmup-max;
OperationOpenGraph;1.840475204E7;5.636203948648388E7;1760360.0;2.1246301E8;2.18740994E7;7.069217749207103E7;1091164.0;3.12733817E8;
OperationDeleteGraph;1.1506767E7;0.0;1.1506767E7;1.1506767E7;1.3840227E7;0.0;1.3840227E7;1.3840227E7;
OperationShutdownGraph;3.710503768E7;6.523710100875239E7;1706.0;3.52435372E8;3.790075668E7;6.464984157010323E7;17778.0;3.27690301E8;
OperationDoGC;3.47848097544E9;7529959.928862798;3.459347966E9;3.498223603E9;3.48298018328E9;1.7331747162750527E7;3.448527446E9;3.516198384E9;
OperationLoadGraphML-barabasi_1000_5000;1.221145803E9;0.0;1.221145803E9;1.221145803E9;2.202225093E9;0.0;2.202225093E9;2.202225093E9;
OperationGetManyVertices;1.3443923E7;0.0;1.3443923E7;1.3443923E7;1.3660188E7;0.0;1.3660188E7;1.3660188E7;
OperationGetManyVertexProperties;3.301304E7;0.0;3.301304E7;3.301304E7;3.6781352E7;0.0;3.6781352E7;3.6781352E7;
OperationGetManyEdges;1.7396858E7;0.0;1.7396858E7;1.7396858E7;1.7648334E7;0.0;1.7648334E7;1.7648334E7;
OperationGetManyEdgeProperties;3.7132197E7;0.0;3.7132197E7;3.7132197E7;3.8890069E7;0.0;3.8890069E7;3.8890069E7;
OperationGetFirstNeighbor;34091.389;15471.567780728587;8084.0;70189.0;55773.556;55318.19502488192;14422.0;1528784.0;
OperationGetRandomNeighbor;120530.977;176536.45465873193;6072.0;2034214.0;125375.612;194375.09398493794;14922.0;2179476.0;
OperationGetAllNeighbors;179785.242;339755.8807877909;6042.0;3958274.0;165442.217;239112.65335486515;14512.0;3030766.0;
OperationGetKFirstNeighbors;58285.3876;47227.75729909865;5965.0;212232.0;70778.562;50911.43893839721;7202.0;475528.0;
OperationGetKRandomNeighbors;126988.5176;185806.21396545495;6413.0;2533541.0;147553.8258;215086.4240455154;8100.0;4611818.0;
OperationGetKHopNeighbors;3179190.4572;1.2913857001201399E7;6632.0;1.51396537E8;2982711.9166;1.2824278960222246E7;6547.0;1.46632234E8;
OperationGetShortestPath;6377493.622;1.6196543626051929E7;1207.0;1.26659116E8;6315144.318;1.7612499236122616E7;1231.0;1.3595628E8;
