id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];312733817;DONE;2272968;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];13840227;DONE;26430831;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];17778;DONE;26430831;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3448527446;DONE;19325983;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];197568908;DONE;19540959;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];2202225093;DONE;41856503;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];327690301;DONE;41856503;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3459157068;DONE;19429927;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1123784;DONE;20486407;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];13660188;1000;48919943;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];20707562;DONE;48919943;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3465078895;DONE;31518519;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1777804;DONE;32535431;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];36781352;1000;58976415;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];20463899;DONE;58976415;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3466896942;DONE;31519311;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1826855;DONE;32556463;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];17648334;1000;61540263;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];27134316;DONE;61540263;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3460387363;DONE;31519615;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1862342;DONE;32588943;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];38890069;1000;69387335;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];24463195;DONE;69387335;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3493837781;DONE;31519919;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1091164;DONE;32596007;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[581];1528784;DNE;44432975;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[306];490927;v[308];44432975;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[631];15663;DNE;44432975;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[435];60378;v[655];44432975;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[589];55679;v[618];44432975;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[289];20994;DNE;44432975;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[990];20473;DNE;44432975;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[146];57172;v[147];44432975;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[536];20910;DNE;44432975;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[533];54433;v[571];44432975;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[227];60589;v[240];44432975;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[423];54179;v[949];44432975;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[670];20913;DNE;44432975;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[704];57375;v[733];44432975;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[433];59495;v[495];44432975;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[722];16289;DNE;44432975;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[101];57503;v[183];44432975;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[180];59933;v[204];44432975;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[852];50155;v[870];44432975;
