id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];477362;DONE;20510903;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];398226;DONE;20510903;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1091;DONE;20510903;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3417475004;DONE;19464743;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];778147;DONE;20539607;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];260542077;DONE;29138607;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2096464;DONE;29138607;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3416513029;DONE;19464775;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];636235;DONE;20539639;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];680151;1000;46521015;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];301468;DONE;46521015;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3437648239;DONE;31549879;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];904871;DONE;32457823;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];12058812;1000;44261095;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];254493;DONE;44261095;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424025372;DONE;31549879;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];809911;DONE;32457823;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];873402;1000;41560231;
