id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];147183049;DONE;725032;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2676594;DONE;31885239;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];17387;DONE;31885239;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3398694223;DONE;19935135;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];734535;DONE;20293415;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];672977219;DONE;29967767;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2231583;DONE;29967767;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3400167525;DONE;20040271;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1068144;DONE;20398551;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];2028351;1000;46896455;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];525208;DONE;46896455;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3405860431;DONE;32119423;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];838310;DONE;32477703;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];12032375;1000;44659231;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];257726;DONE;44659231;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3415108269;DONE;31534199;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];805545;DONE;31892479;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];959867;1000;42957559;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];281315;DONE;42957559;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3401232525;DONE;31534479;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];806040;DONE;32251015;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];12205318;1000;37959487;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];285694;DONE;37959487;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3395672132;DONE;31534759;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];780886;DONE;32376679;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1697];445306;v[1773];44163559;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1152];145662;v[1179];44163559;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1222];58239;DNE;44163559;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1381];38222;DNE;44163559;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1622];46784;DNE;44163559;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1687];61743;v[1995];44163559;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1405];61633;v[1663];44163559;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1321];68748;v[1346];44163559;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1715];63691;v[1768];44163559;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1370];67713;v[1379];44163559;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1576];63201;v[1885];44163559;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1971];45653;DNE;44163559;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1813];45044;DNE;44163559;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1784];45175;DNE;44163559;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1765];44986;DNE;44163559;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1127];74939;v[1228];44163559;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1283];66611;v[1590];44163559;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1619];45659;DNE;44163559;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1445];67127;v[1568];44163559;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1075];100010;v[1106];44163559;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1578];65284;v[1598];44163559;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1992];45601;DNE;44163559;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1339];69561;v[1349];44163559;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1747];45991;DNE;44163559;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1389];66713;v[1601];44163559;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1824];65433;v[1958];44163559;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1720];64469;v[1735];44163559;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1160];69940;v[1176];44163559;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1544];65853;v[1627];44163559;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1492];45390;DNE;44163559;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1332];66935;v[1392];44163559;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1191];64959;v[1471];44163559;
