operation;dex-mean;dex-stdev;dex-min;dex-max;dex-warmup-mean;dex-warmup-stdev;dex-warmup-min;dex-warmup-max;
OperationOpenGraph;788038.8;95745.07549529636;477362.0;904871.0;6668055.36;2.868265551245642E7;588593.0;1.47183049E8;
OperationDeleteGraph;398226.0;0.0;398226.0;398226.0;2676594.0;0.0;2676594.0;2676594.0;
OperationShutdownGraph;7.9731663764E8;2.393772111701392E9;1091.0;1.1225585671E10;6.6270852156E8;1.9857515808881576E9;17387.0;9.156897127E9;
OperationDoGC;3.432178526E9;1.3683052988663608E7;3.413353727E9;3.459310143E9;3.407488034E9;8803747.629140558;3.395672132E9;3.434593885E9;
OperationLoadGraphML-barabasi_1000_5000;2.60542077E8;0.0;2.60542077E8;2.60542077E8;6.72977219E8;0.0;6.72977219E8;6.72977219E8;
OperationGetManyVertices;680151.0;0.0;680151.0;680151.0;2028351.0;0.0;2028351.0;2028351.0;
OperationGetManyVertexProperties;1.2058812E7;0.0;1.2058812E7;1.2058812E7;1.2032375E7;0.0;1.2032375E7;1.2032375E7;
OperationGetManyEdges;873402.0;0.0;873402.0;873402.0;959867.0;0.0;959867.0;959867.0;
OperationGetManyEdgeProperties;1.2135733E7;0.0;1.2135733E7;1.2135733E7;1.2205318E7;0.0;1.2205318E7;1.2205318E7;
OperationGetFirstNeighbor;17021.293;9047.440280607048;10193.0;257335.0;40262.912;20235.1502096786;21321.0;445306.0;
OperationGetRandomNeighbor;20424.101;9476.206909138227;10587.0;245528.0;37143.121;15442.147357293261;21832.0;381596.0;
OperationGetAllNeighbors;21818.421;15781.800328155176;10577.0;210299.0;37414.957;21269.601677115417;21435.0;373230.0;
OperationGetKFirstNeighbors;21176.6796;13934.224673204602;8382.0;297103.0;34024.4252;18625.63807570647;10007.0;312847.0;
OperationGetKRandomNeighbors;20394.9086;12723.667363281915;8772.0;308529.0;26104.9386;13728.37065209233;10575.0;307827.0;
OperationGetKHopNeighbors;358975.6684;1347616.5487550064;9101.0;2.871821E7;365111.87;1362579.4338694;8965.0;3.005154E7;
OperationGetShortestPath;1441925.076;3507120.5121842083;10529.0;2.3863491E7;1124585.044;3793076.0477298913;10397.0;5.5298057E7;
