id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];160466778;DONE;20492367;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];601404;DONE;20492367;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1236;DONE;20492367;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3493543797;DONE;19453431;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];154030298;DONE;20520879;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];286647260;DONE;58962687;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];188229544;DONE;58962687;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3500966320;DONE;19453703;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];804533;DONE;20523591;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1354003;1000;46490615;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1290218;DONE;46490615;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3501101261;DONE;31535519;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];768125;DONE;32439799;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];20208727;1000;46910375;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1247678;DONE;46910375;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3502691224;DONE;31535551;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1219205;DONE;32439831;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];3768880;1000;41362455;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1521053;DONE;41362455;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3509209991;DONE;31535663;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];778957;DONE;32503239;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];25576333;1000;42799943;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2313358;DONE;42799943;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3473500093;DONE;31535671;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1267294;DONE;32543879;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[625];60544;v[704];44642375;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[725];21791;DNE;44642375;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[996];17814;DNE;44642375;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[397];25981;v[475];44642375;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[361];24436;v[451];44642375;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[240];24371;v[474];44642375;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[705];25220;v[734];44642375;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[566];18420;DNE;44642375;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[899];17492;DNE;44642375;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[136];12833;v[181];44642375;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[606];25435;v[711];44642375;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[71];19696;v[106];44642375;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[983];7870;DNE;44642375;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[858];12338;v[941];44642375;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[668];12392;DNE;44642375;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[381];12833;v[409];44642375;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[252];18092;v[304];44642375;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[26];18904;v[33];44642375;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[413];13497;v[424];44642375;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[105];13067;v[301];44642375;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[401];21398;v[500];44642375;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[800];14453;DNE;44642375;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[705];13046;v[734];44642375;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[730];13285;v[768];44642375;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[185];18346;v[198];44642375;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[281];13576;v[372];44642375;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[744];13457;v[788];44642375;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[336];18791;v[421];44642375;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[737];13357;v[751];44642375;
