operation;dup-mean;dup-stdev;dup-min;dup-max;dup-warmup-mean;dup-warmup-stdev;dup-warmup-min;dup-warmup-max;
OperationOpenGraph;1.364903292E7;4.235520287436223E7;768125.0;1.60466778E8;2.353843464E7;8.116644070737475E7;745522.0;3.82546391E8;
OperationDeleteGraph;601404.0;0.0;601404.0;601404.0;1529205.0;0.0;1529205.0;1529205.0;
OperationShutdownGraph;8442922.04;3.670404938977418E7;1236.0;1.88229544E8;9220887.48;4.06992925870284E7;17504.0;2.08584477E8;
OperationDoGC;3.49045481232E9;1.0272392942754274E7;3.473500093E9;3.520466908E9;3.48867525432E9;1.4652061599616138E7;3.46085195E9;3.510999008E9;
OperationLoadGraphML-barabasi_1000_5000;2.8664726E8;0.0;2.8664726E8;2.8664726E8;1.123530723E9;0.0;1.123530723E9;1.123530723E9;
OperationGetManyVertices;1354003.0;0.0;1354003.0;1354003.0;3013529.0;0.0;3013529.0;3013529.0;
OperationGetManyVertexProperties;2.0208727E7;0.0;2.0208727E7;2.0208727E7;2.4484256E7;0.0;2.4484256E7;2.4484256E7;
OperationGetManyEdges;3768880.0;0.0;3768880.0;3768880.0;4146928.0;0.0;4146928.0;4146928.0;
OperationGetManyEdgeProperties;2.5576333E7;0.0;2.5576333E7;2.5576333E7;2.6880757E7;0.0;2.6880757E7;2.6880757E7;
OperationGetFirstNeighbor;11957.4;3427.7403985716232;6601.0;60544.0;22858.19;41381.16601177286;10465.0;1313209.0;
OperationGetRandomNeighbor;20633.115;15420.946980966348;6926.0;202842.0;32024.165;19868.448765512;10860.0;164331.0;
OperationGetAllNeighbors;24566.682;26226.114391973435;6960.0;394746.0;47760.466;70812.3866713363;10706.0;1060027.0;
OperationGetKFirstNeighbors;13303.0452;7775.331262110755;4630.0;125103.0;21836.821;11700.888512679678;6076.0;189370.0;
OperationGetKRandomNeighbors;19364.659;16003.765749107917;4999.0;233277.0;25393.978;17979.11928976267;6613.0;250508.0;
OperationGetKHopNeighbors;422372.0262;1605992.614209574;5265.0;1.5832115E7;449340.8828;1683162.2321022183;5210.0;1.8001668E7;
OperationGetShortestPath;1015186.41;2590403.8443753393;6737.0;1.7599365E7;1495933.836;3925410.261514456;6539.0;3.3238731E7;
