id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];382546391;DONE;1438672;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];1529205;DONE;26978343;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];17504;DONE;26978343;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3478987291;DONE;19325319;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];179382296;DONE;19540295;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];1123530723;DONE;60460871;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];208584477;DONE;60460871;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3460851950;DONE;19438815;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1262474;DONE;19953999;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];3013529;1000;46956151;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];990136;DONE;46956151;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3510999008;DONE;31524103;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1190236;DONE;32070711;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];24484256;1000;46834207;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1277825;DONE;46834207;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3465650326;DONE;31524415;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1227267;DONE;32071023;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];4146928;1000;42284743;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1547320;DONE;42284743;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3493246888;DONE;31524807;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1221964;DONE;32258887;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];26880757;1000;44227447;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2420895;DONE;44227447;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3503473700;DONE;31525095;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];783332;DONE;32382495;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[470];1313209;v[512];44386095;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[713];36340;v[777];44386095;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[441];38080;v[803];44386095;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[412];36104;v[517];44386095;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[958];40029;DNE;44386095;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[128];31826;v[199];44386095;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[349];27135;v[374];44386095;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[570];33492;v[804];44386095;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[809];30041;v[957];44386095;
