operation;hollow-mean;hollow-stdev;hollow-min;hollow-max;hollow-warmup-mean;hollow-warmup-stdev;hollow-warmup-min;hollow-warmup-max;
OperationOpenGraph;14026.6;14463.298143922779;8623.0;77083.0;609645.24;2930096.9533106205;6163.0;1.4964034E7;
OperationDeleteGraph;3664.0;0.0;3664.0;3664.0;29558.0;0.0;29558.0;29558.0;
OperationShutdownGraph;1713.04;390.77517628426705;852.0;2358.0;2448.64;3017.138523568316;976.0;14414.0;
OperationDoGC;3.40185880844E9;4863809.562587927;3.39159417E9;3.410515037E9;3.37554414808E9;7476916.341488578;3.363012303E9;3.394279156E9;
OperationLoadGraphML-barabasi_1000_5000;4.0939789E7;0.0;4.0939789E7;4.0939789E7;4.6638449E8;0.0;4.6638449E8;4.6638449E8;
OperationGetManyVertices;47821.0;0.0;47821.0;47821.0;588882.0;0.0;588882.0;588882.0;
OperationGetManyVertexProperties;146234.0;0.0;146234.0;146234.0;199063.0;0.0;199063.0;199063.0;
OperationGetManyEdges;368170.0;0.0;368170.0;368170.0;435690.0;0.0;435690.0;435690.0;
OperationGetManyEdgeProperties;80647.0;0.0;80647.0;80647.0;105636.0;0.0;105636.0;105636.0;
OperationGetFirstNeighbor;3505.972;1642.00347722409;1126.0;30657.0;9069.054;32086.313185392333;2685.0;1019812.0;
OperationGetRandomNeighbor;7807.49;3723.286307000847;1697.0;30377.0;9847.237;3431.3042058131473;3089.0;39701.0;
OperationGetAllNeighbors;3869.6;2148.0150767627397;1617.0;31310.0;6266.988;3364.375154446362;2878.0;50680.0;
OperationGetKFirstNeighbors;589.0286;353.3867402464902;164.0;4906.0;4485.1226;3373.0523018134872;312.0;64952.0;
OperationGetKRandomNeighbors;2252.3908;1753.2326450518094;413.0;46339.0;7524.1444;6195.362345976919;1067.0;161045.0;
OperationGetKHopNeighbors;79851.028;137413.50118490253;553.0;1621576.0;85219.3534;122919.85194130738;567.0;2089405.0;
OperationGetShortestPath;7316.646;2942.8485595905217;5434.0;16841.0;39807.202;717644.4327527537;5275.0;1.6070592E7;
