id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];24241;DONE;20008567;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];3901;DONE;20008567;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];882;DONE;20008567;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3468448193;DONE;19420191;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];38848;DONE;19642327;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];104951346;DONE;24974207;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1206;DONE;24974207;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3464502324;DONE;19420223;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];5768;DONE;19642359;
9;OperationGlobalClusteringCoefficient;com.tinkerpop.bench.operation.operations.OperationGlobalClusteringCoefficient;[];6386146;0.0;22974615;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2265;DONE;22974615;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3472106456;DONE;19420223;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];5342;DONE;19642359;
13;OperationNetworkAverageClusteringCoefficient;com.tinkerpop.bench.operation.operations.OperationNetworkAverageClusteringCoefficient;[];3096816;0.0;22308199;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1244;DONE;22308199;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3474694472;DONE;19420223;
