id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];14964034;DONE;0;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];29558;DONE;30026615;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];14414;DONE;30026615;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3380386380;DONE;19383447;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];59509;DONE;19741727;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];466384490;DONE;25833359;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1620;DONE;25833359;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3366845807;DONE;19485511;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];30116;DONE;19843791;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];588882;1000;19843791;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2449;DONE;19843791;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3377362725;DONE;19844167;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7676;DONE;20202447;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];199063;1000;20202447;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1752;DONE;20202447;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3375931438;DONE;19451415;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7919;DONE;19809695;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];435690;1000;32392799;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1257;DONE;32392799;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3367998957;DONE;19450231;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7871;DONE;20166767;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];105636;1000;28126791;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1272;DONE;28126791;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3363012303;DONE;19450511;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8140;DONE;20292431;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];1019812;v[841];20292431;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];7640;DNE;20292431;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];7895;v[338];20292431;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];7172;v[802];20292431;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];7250;v[700];20292431;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];7167;v[867];20292431;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];7310;v[838];20292431;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];7163;v[322];20292431;
