id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1873658;DONE;42912;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];30973;DONE;24755887;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];10887;DONE;24755887;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3466189166;DONE;19352999;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];62655;DONE;19575135;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];412748195;DONE;25796855;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1235;DONE;25796855;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3449005294;DONE;19455087;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7456;DONE;19677223;
9;OperationGlobalClusteringCoefficient;com.tinkerpop.bench.operation.operations.OperationGlobalClusteringCoefficient;[];47824606;0.0;24349383;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1526;DONE;24349383;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3470981941;DONE;19454007;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];42684;DONE;19676143;
13;OperationNetworkAverageClusteringCoefficient;com.tinkerpop.bench.operation.operations.OperationNetworkAverageClusteringCoefficient;[];20986311;0.0;22564183;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1582;DONE;22564183;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3466651308;DONE;19454287;
