id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1670277738;DONE;24913119;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];435973502;DONE;27177095;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2481;DONE;27177095;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3615867647;DONE;19913711;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1671134846;DONE;24991439;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];2452829363;DONE;41855975;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];525357160;DONE;43706311;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3630820611;DONE;19974143;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];70758100;DONE;22042095;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];330998;1000;54740487;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];451047117;DONE;55540519;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3683479165;DONE;32036175;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];65773062;DONE;33878055;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];11126084;1000;46656583;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];528266132;DONE;47856631;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3648689536;DONE;31999935;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];68759786;DONE;33841815;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];722181;1000;51044111;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];442640378;DONE;51844143;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3638989152;DONE;32037199;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];69718179;DONE;33977735;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];31621461;1000;52865591;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];448050908;DONE;53665623;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3647893561;DONE;32037727;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];66534584;DONE;34059791;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[688];137865;v[995];46191791;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[140];37612;v[990];46191791;
