id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2528194273;DONE;14802744;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];460650859;DONE;41485487;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];18201;DONE;41485487;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3553826994;DONE;20094135;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1614962381;DONE;24123103;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];4161340357;DONE;49371359;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];568576390;DONE;51552759;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3644466620;DONE;19926399;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];82192384;DONE;21872127;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];639871;1000;54817039;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];480596759;DONE;56017087;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3652817375;DONE;31989847;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];77130312;DONE;33736639;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];21240289;1000;47002743;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];451000943;DONE;47979519;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3626827189;DONE;31954143;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];75802942;DONE;33692759;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1040506;1000;54609519;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];457019946;DONE;55809567;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3666022112;DONE;31992247;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];60010803;DONE;33501151;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];32528354;1000;55563159;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];474939853;DONE;56363191;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3626485942;DONE;31992959;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];66439856;DONE;33734215;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[830];176547;v[960];45922615;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[365];85911;v[809];45922615;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[641];50406;v[968];45922615;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[612];183176;v[994];45922615;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[318];59669;v[769];45922615;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[225];60649;v[986];45922615;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[394];49187;v[800];45922615;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[197];56066;v[918];45922615;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[682];52009;DNE;45922615;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[514];52521;v[773];45922615;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[630];39846;DNE;45922615;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[806];39404;DNE;45922615;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[953];40335;DNE;45922615;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[485];47824;v[708];45922615;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[389];56737;v[845];45922615;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[779];56233;DNE;45922615;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[172];56118;v[716];45922615;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[712];48407;v[945];45922615;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[542];48028;v[648];45922615;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[944];39380;DNE;45922615;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[517];39179;DNE;45922615;
