operation;neo-mean;neo-stdev;neo-min;neo-max;neo-warmup-mean;neo-warmup-stdev;neo-warmup-min;neo-warmup-max;
OperationOpenGraph;1.9627967784E8;4.347977900835968E8;6.2218265E7;1.671134846E9;2.3069869688E8;5.581766054652698E8;5.3952342E7;2.528194273E9;
OperationDeleteGraph;4.35973502E8;0.0;4.35973502E8;4.35973502E8;4.60650859E8;0.0;4.60650859E8;4.60650859E8;
OperationShutdownGraph;4.3936330368E8;9.292395800505924E7;2481.0;5.28266132E8;4.3853382512E8;9.346916831980516E7;18201.0;5.6857639E8;
OperationDoGC;3.65148377048E9;1.2508384822162999E7;3.615867647E9;3.683479165E9;3.63621507424E9;2.013666205622379E7;3.553826994E9;3.666022112E9;
OperationLoadGraphML-barabasi_1000_5000;2.452829363E9;0.0;2.452829363E9;2.452829363E9;4.161340357E9;0.0;4.161340357E9;4.161340357E9;
OperationGetManyVertices;330998.0;0.0;330998.0;330998.0;639871.0;0.0;639871.0;639871.0;
OperationGetManyVertexProperties;1.1126084E7;0.0;1.1126084E7;1.1126084E7;2.1240289E7;0.0;2.1240289E7;2.1240289E7;
OperationGetManyEdges;722181.0;0.0;722181.0;722181.0;1040506.0;0.0;1040506.0;1040506.0;
OperationGetManyEdgeProperties;3.1621461E7;0.0;3.1621461E7;3.1621461E7;3.2528354E7;0.0;3.2528354E7;3.2528354E7;
OperationGetFirstNeighbor;17944.104;14538.75065530681;2544.0;157895.0;46988.327;34968.569241850164;6289.0;341301.0;
OperationGetRandomNeighbor;21335.979;17081.961681333873;2768.0;239901.0;40329.487;27588.758468365893;6406.0;270848.0;
OperationGetAllNeighbors;20366.439;20022.33728834572;2771.0;391455.0;38526.484;29389.301576351605;6092.0;366244.0;
OperationGetKFirstNeighbors;15049.3858;16602.25115751952;916.0;160908.0;30069.5536;27649.40697441314;1397.0;291385.0;
OperationGetKRandomNeighbors;20525.7232;26658.662650271523;1272.0;487216.0;27857.633;27978.963110085235;2149.0;377506.0;
OperationGetKHopNeighbors;61518.8414;348015.08970858424;1337.0;1.5470611E7;70961.7676;373641.78088012023;1352.0;1.1829578E7;
OperationGetShortestPath;596933.086;1928028.5614941854;1139.0;1.7337653E7;634221.824;2350514.9897376127;2225.0;2.8720377E7;
