id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2440885;DONE;20774679;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];845544;DONE;20774679;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1214;DONE;20774679;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3501154893;DONE;19548247;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2254209;DONE;20625655;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];1050424224;DONE;60520103;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];454636;DONE;60520103;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3519894437;DONE;19751239;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2946434;DONE;20827471;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];45522002;1000;41844599;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];338547;DONE;41844599;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3533803552;DONE;32010295;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2662661;DONE;33003655;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];24867773;1000;54859903;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];328006;DONE;54859903;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3515194555;DONE;31967687;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2884229;DONE;32961047;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];38234759;1000;65737575;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];309645;DONE;65737575;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3525082473;DONE;31998223;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2580776;DONE;33042615;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];24562519;1000;72779911;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];343582;DONE;72779911;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3528782690;DONE;31981767;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];3060126;DONE;33046215;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#998e6a40-581a-40b0-abd1-64df965e6029];27674;DNE;44755143;
