id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];173298476;DONE;2495704;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2185351;DONE;28112255;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];13039;DONE;28112255;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455092692;DONE;19438103;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6959002;DONE;19653079;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];2131388122;DONE;63178335;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];517796;DONE;63178335;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3537540732;DONE;19746703;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];16844217;DONE;20587007;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];65866981;1000;41893103;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];309115;DONE;41893103;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3524064179;DONE;32001023;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1920716;DONE;32841327;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];32945283;1000;55530191;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];314621;DONE;55530191;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3537270445;DONE;31958695;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];3562258;DONE;32798999;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];50341457;1000;64858407;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];634036;DONE;64858407;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3522401770;DONE;31989511;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2718736;DONE;32965391;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];32663336;1000;74285775;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];690497;DONE;74285775;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3512107438;DONE;31973167;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];3056303;DONE;33010247;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#f0d8991a-8ffd-44e6-a0f5-2cc940e63257];689247;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#f0390689-7a2e-4622-bebf-add060f88b94];45455207;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#b01aa366-5d96-4efb-9984-90e095a148dc];39209;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#fbe26058-c8b4-4e36-ae6c-d3245d27b4e5];45455207;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#40d8029d-6918-4e28-80a1-85f81175632f];34940;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#c6288c96-4002-414b-a482-28d0b6cfd209];45455207;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#fe49c324-f29d-4e4e-8be4-dff548373935];23687;DNE;45455207;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3411bcad-8d8b-4bdd-a017-3622c4afa441];14396;DNE;45455207;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#af7b218c-14d5-49f8-b95c-0846e4bdb23b];35631;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#57bc2708-b8f5-42a4-9fd1-13c4d663e4bc];45455207;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#ecce88d1-8dfd-4e5b-aac8-04492df9de54];33984;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#119a03c5-58b1-47eb-bd8b-8e427d6d6100];45455207;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#01556b0b-4a04-4a10-8904-ff7c0f3d2a8f];9611;DNE;45455207;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#76f27b0c-b827-41ad-a645-135ff66b075e];9398;DNE;45455207;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#5d18f5fc-b478-4d8d-b34f-e79d979cf161];34618;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#298d127b-7d6d-4d64-ace0-40f5a7b21e1c];45455207;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#c6455a2f-0739-4055-99b8-dd659906af84];38521;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#a9fc3da0-b62e-4ebc-8e08-416685ab023c];45455207;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#7ce31b97-fc3d-4d3c-9e55-98941e7d9e1e];9836;DNE;45455207;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#602f57d3-5878-41f9-93a6-e9a01378cd26];34988;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#b8d367ee-7f85-43c4-9cf2-2e02fe02fe2c];45455207;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#960595d4-2780-4487-943d-d2bc27a27e24];34725;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#33c97518-4b7c-4fb5-a0b3-e0fb043c8fd9];45455207;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#6b60852b-a62a-487e-a9f3-41274938d980];30187;DNE;45455207;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#4ebf274e-9cee-4695-b3b2-424f202b2d6b];10214;DNE;45455207;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#1524e16b-7fa0-48bc-ba44-eaacd3106500];32556;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#b5aa57c1-c735-437e-bfad-51204c3471bf];45455207;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3faf799c-8109-4536-9fed-8af910e862c3];37050;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#657a8298-4b81-45d4-9f43-da9067c04c6b];45455207;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#cd8df822-7e94-4408-8df4-9f28341bd3e6];39816;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#48273718-16fe-47d9-b6e0-f94306f6748b];45455207;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#449ed5a6-d426-4b03-ae5b-c5b6ffdf784a];39652;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3e9cb867-533c-4575-b91b-c1fbf7f51996];45455207;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#1dac95c8-f579-4548-8cb4-cef827ca6358];34657;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#0c97f10b-353f-4d1b-ac43-748b5952bf84];45455207;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3de28144-958e-449c-a594-f96d36c3785f];14681;DNE;45455207;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#06471d41-84e1-4d4e-99cf-e8b5ed57b36f];30834;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#69ff9029-2412-4090-8de5-4e0fc3a2c502];45455207;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#4f4a0df5-75f3-4ae5-a9c1-06a2ddfcac1d];35309;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#b0ef8373-4e22-4f3f-aa13-57538fee661e];45455207;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#28276435-b2e9-46ba-b64d-e18625acbd96];10241;DNE;45455207;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#6f8bfb15-15b1-4a9f-a0da-91afe695ae99];34362;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#f567127c-e5ee-4117-83e7-650c2ff691e7];45455207;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#6812ebab-8a95-40d0-ac1f-33069deadd06];34770;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#01a5459c-f29d-4118-803e-d6b142c80de6];45455207;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#c31357e1-727c-4c94-9a6c-341951870dbc];10219;DNE;45455207;
