id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9154118;DONE;21123871;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];32664933;DONE;21123871;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2020;DONE;21123871;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3502993920;DONE;20085039;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];304763038;DONE;21159567;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];6295215904;DONE;25708231;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];429312;DONE;25708231;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3510628957;DONE;20085079;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11277033;DONE;21167127;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];49742873;1000;57113103;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];132927;DONE;57113103;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3533512323;DONE;32170175;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11259831;DONE;33127303;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];236160231;1000;49400671;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];179857;DONE;49400671;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3540197615;DONE;32170175;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11523120;DONE;33127303;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];216184747;1000;46517279;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];241339;DONE;46517279;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3534217134;DONE;32169967;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11380992;DONE;33173991;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];283424761;1000;49095343;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];121932;DONE;49095343;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3529887691;DONE;32170175;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11549632;DONE;33202311;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[294];406359;v[413];44555807;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[632];151462;DNE;44555807;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[814];184647;v[859];44555807;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[118];194615;v[149];44555807;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[480];189391;v[509];44555807;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[801];187840;v[935];44555807;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[141];201063;v[166];44555807;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[131];188303;v[207];44555807;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[444];194320;v[496];44555807;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[498];183382;v[546];44555807;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[91];210547;v[96];44555807;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[427];190166;v[440];44555807;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[681];187724;v[807];44555807;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[775];176971;v[839];44555807;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[913];175824;v[942];44555807;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[764];194637;v[790];44555807;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[911];123352;DNE;44555807;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[709];123747;DNE;44555807;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[860];121220;DNE;44555807;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[393];182758;v[430];44555807;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[734];121343;DNE;44555807;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[922];118117;DNE;44555807;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[268];189709;v[320];44555807;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[605];179334;v[732];44555807;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[309];215127;v[369];44555807;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[310];183927;v[393];44555807;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[743];177038;v[980];44555807;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[811];124315;DNE;44555807;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[517];119518;DNE;44555807;
