id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];503051809;DONE;-44671048;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];146783637;DONE;27885567;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];19063;DONE;27885567;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3492836798;DONE;19966215;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];389786791;DONE;20417679;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000_5000.graphml];5367153311;DONE;28766351;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2104819;DONE;28766351;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3503929310;DONE;20071519;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];22142881;DONE;20594255;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];40431468;1000;56433575;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];154493;DONE;56433575;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3519540532;DONE;32154711;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];22533515;DONE;32744215;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];256384927;1000;48662687;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];257155;DONE;48662687;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3529141280;DONE;32156583;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];19124595;DONE;32746087;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];130671226;1000;48019327;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];255782;DONE;48019327;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3515124606;DONE;32156863;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];21534377;DONE;32919671;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];228159126;1000;51892215;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];249039;DONE;51892215;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3526503586;DONE;32158023;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];24002465;DONE;33032959;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[968];619173;DNE;45282063;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[20];1224717;v[36];45282063;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[730];427357;v[768];45282063;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[742];282529;DNE;45282063;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[763];252740;DNE;45282063;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[911];227222;DNE;45282063;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[499];326333;v[545];45282063;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[619];300772;v[703];45282063;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[368];259532;v[423];45282063;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[823];184700;DNE;45282063;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[804];257963;v[876];45282063;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[527];259704;v[633];45282063;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[304];267475;v[466];45282063;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[882];183588;DNE;45282063;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[126];275501;v[139];45282063;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[473];180430;DNE;45282063;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[652];178843;DNE;45282063;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[456];264055;v[504];45282063;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[146];268355;v[193];45282063;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[861];177820;DNE;45282063;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[424];254229;v[950];45282063;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[305];230784;v[402];45282063;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[822];142409;DNE;45282063;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[999];138185;DNE;45282063;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[970];137863;DNE;45282063;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[873];140756;DNE;45282063;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[10];219106;v[11];45282063;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[210];191811;v[457];45282063;
