operation;sql-mean;sql-stdev;sql-min;sql-max;sql-warmup-mean;sql-warmup-stdev;sql-warmup-min;sql-warmup-max;
OperationOpenGraph;2.149698968E7;5.784391815107222E7;6527894.0;3.04763038E8;5.131180172E7;1.17663413237632E8;9725087.0;5.03051809E8;
OperationDeleteGraph;3.2664933E7;0.0;3.2664933E7;3.2664933E7;1.46783637E8;0.0;1.46783637E8;1.46783637E8;
OperationShutdownGraph;396611.24;419052.17046570993;2020.0;1607222.0;1258210.2;1874544.3613380396;19063.0;6322804.0;
OperationDoGC;3.53411134772E9;8626968.993585452;3.50299392E9;3.543421738E9;3.53187884736E9;1.5218764617136907E7;3.492836798E9;3.556173758E9;
OperationLoadGraphML-barabasi_1000_5000;6.295215904E9;0.0;6.295215904E9;6.295215904E9;5.367153311E9;0.0;5.367153311E9;5.367153311E9;
OperationGetManyVertices;4.9742873E7;0.0;4.9742873E7;4.9742873E7;4.0431468E7;0.0;4.0431468E7;4.0431468E7;
OperationGetManyVertexProperties;2.36160231E8;0.0;2.36160231E8;2.36160231E8;2.56384927E8;0.0;2.56384927E8;2.56384927E8;
OperationGetManyEdges;2.16184747E8;0.0;2.16184747E8;2.16184747E8;1.30671226E8;0.0;1.30671226E8;1.30671226E8;
OperationGetManyEdgeProperties;2.83424761E8;0.0;2.83424761E8;2.83424761E8;2.28159126E8;0.0;2.28159126E8;2.28159126E8;
OperationGetFirstNeighbor;292185.724;99029.16370782816;63548.0;924919.0;183770.731;71104.89564650695;73565.0;1224717.0;
OperationGetRandomNeighbor;265349.473;91629.8222705647;65171.0;774327.0;140489.231;55283.87377179385;71666.0;942151.0;
OperationGetAllNeighbors;729320.393;1106826.3469813862;64321.0;1.7612696E7;460418.054;518992.58034698234;72889.0;7216161.0;
OperationGetKFirstNeighbors;412894.4794;300618.62579008634;56084.0;1440899.0;387968.1204;315122.1921280547;48326.0;4978144.0;
OperationGetKRandomNeighbors;360308.3462;227483.22908935763;57542.0;1291074.0;290601.812;314166.1167322098;44488.0;1.2746331E7;
OperationGetKHopNeighbors;1.59441863316E7;6.3923247388389975E7;57125.0;6.58389521E8;1.68528399466E7;6.6977137028673336E7;45224.0;6.42748086E8;
OperationGetShortestPath;7515414.542;1.4880237213279584E7;867837.0;1.24658762E8;7828795.65;1.5561665073229117E7;894986.0;1.02029887E8;
