id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];479842560;DONE;-47547872;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];34380269;DONE;25456159;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];14693;DONE;25456159;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3442985737;DONE;19636975;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];233231137;DONE;19855535;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];2462135801239;DONE;162166743;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];133129012341;DONE;162166743;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3469517232;DONE;19195815;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1886892;DONE;20270727;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];26499577;1000;178190015;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2632994;DONE;178190015;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5631807603;DONE;119560423;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1787552;DONE;120639983;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];69116862;1000;122929367;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];20072588;DONE;122929367;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5622134403;DONE;119561759;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1772067;DONE;120641319;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];30639253;1000;152140343;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];957791;DONE;152140343;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5574981064;DONE;119561135;
