id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];24173944;DONE;20163111;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];623257;DONE;20163111;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1335;DONE;20163111;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3398104539;DONE;19166791;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];727819;DONE;20192999;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];242454021812;DONE;173587551;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];175119163;DONE;173587551;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3456693562;DONE;19191711;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2717556;DONE;20267047;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1358439;1000;159689127;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1414902;DONE;159689127;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5647083477;DONE;119577471;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2974870;DONE;120652567;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];20790498;1000;146497007;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1195259;DONE;146497007;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5656082948;DONE;119577711;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2739265;DONE;120652695;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1433284;1000;163718695;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1370194;DONE;163718695;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5666507321;DONE;119577951;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2736897;DONE;120652863;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];42755179;1000;125021711;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1593491;DONE;125021711;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5623409078;DONE;119578191;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2910426;DONE;120653103;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[985120];135095;DNE;163690975;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[476218];306456;v[485277];163690975;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[261089];197298;v[279190];163690975;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[270959];123457;v[285861];163690975;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[282110];111068;v[302803];163690975;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[320655];141142;v[356705];163690975;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[915853];42534;DNE;163690975;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[104063];155660;v[130833];163690975;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[932241];39256;DNE;163690975;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[486124];65327;v[488224];163690975;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[284235];131799;v[404300];163690975;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[602068];166785;v[771042];163690975;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[729072];177661;v[833167];163690975;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[748711];132441;v[854973];163690975;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[128698];137937;v[162777];163690975;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[546979];169021;v[600529];163690975;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[482239];132457;v[752600];163690975;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[715807];24127;v[854841];163690975;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[792243];98678;v[865692];163690975;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[56743];153392;v[75842];163690975;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[403394];165779;v[431475];163690975;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[289220];72075;v[753232];163690975;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[833909];70545;v[852965];163690975;
