operation;dex-mean;dex-stdev;dex-min;dex-max;dex-warmup-mean;dex-warmup-stdev;dex-warmup-min;dex-warmup-max;
OperationOpenGraph;3640820.9166666665;4317224.559311204;727819.0;2.4173944E7;9424430.541666666;3.2078886052271586E7;530072.0;1.63250307E8;
OperationDeleteGraph;623257.0;0.0;623257.0;623257.0;1276096.0;0.0;1276096.0;1276096.0;
OperationShutdownGraph;6.218835891041667E9;2.3071283216128197E10;1335.0;1.10861427153E11;1.6898044282166666E10;7.878938312356232E10;7773.0;3.94639052207E11;
OperationDoGC;5.436257154083333E9;6.070571347462523E8;3.398104539E9;5.708336349E9;5.448111340291667E9;6.107838916248124E8;3.391752147E9;5.815104904E9;
OperationLoadGraphML-barabasi_1000000_5000000;2.42454021812E11;0.0;2.42454021812E11;2.42454021812E11;2.47109762823E11;0.0;2.47109762823E11;2.47109762823E11;
OperationGetManyVertices;1358439.0;0.0;1358439.0;1358439.0;1421311.0;0.0;1421311.0;1421311.0;
OperationGetManyVertexProperties;2.0790498E7;0.0;2.0790498E7;2.0790498E7;2.1158324E7;0.0;2.1158324E7;2.1158324E7;
OperationGetManyEdges;1433284.0;0.0;1433284.0;1433284.0;1512040.0;0.0;1512040.0;1512040.0;
OperationGetManyEdgeProperties;4.2755179E7;0.0;4.2755179E7;4.2755179E7;4.6501703E7;0.0;4.6501703E7;4.6501703E7;
OperationGetFirstNeighbor;57222.029;36595.473659131094;13141.0;306456.0;74905.859;50856.08391945964;22885.0;944045.0;
OperationGetRandomNeighbor;62403.656;35863.89854672335;12807.0;318338.0;75842.624;43526.68399474768;22948.0;356823.0;
OperationGetAllNeighbors;72464.035;91937.78200905086;11819.0;1491177.0;92795.993;106137.34611518674;22833.0;1232296.0;
OperationGetKFirstNeighbors;82752.013;76586.12494102593;10312.0;670582.0;97906.4222;90852.98267998641;12212.0;937052.0;
OperationGetKRandomNeighbors;70982.2856;64484.29297359495;10526.0;487332.0;79457.1382;71806.26828460526;12456.0;625638.0;
OperationGetKHopNeighbors;2525019.9524;5.6374607685277574E7;10737.0;3.459405584E9;3509828.433;1.0280620151698749E8;10559.0;6.191587834E9;
