id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];177735029;DONE;20221175;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];644344;DONE;20221175;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1064;DONE;20221175;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3416867701;DONE;19186711;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];154819911;DONE;20249751;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];360602356601;DONE;172726879;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];38214871946;DONE;172726879;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3476407177;DONE;19217975;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1292572;DONE;20293391;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];3543964;1000;159347295;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2080718;DONE;159347295;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5827417283;DONE;119586887;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1294911;DONE;120662607;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];24640029;1000;153028399;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];672665;DONE;153028399;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5675722490;DONE;119587167;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1307260;DONE;120662535;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];8958070;1000;124078799;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];105617;DONE;124078799;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5661672296;DONE;119587511;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1791061;DONE;120662879;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];31696017;1000;152039935;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];198070;DONE;152039935;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5672852438;DONE;119587767;
