id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];346311789;DONE;-48183880;
1;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[184617, 426405];49182046;0:167:166;175061807;
2;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[185049, 599872];24836500;0:293:292;176141199;
3;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[694496, 570505];31983;0:1:0;176141199;
4;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[484607, 365596];462431;0:17:16;176141199;
5;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[572111, 83503];240235;0:9:8;176141199;
6;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[317740, 858745];85697;0:3:2;176141199;
7;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[775524, 472780];28004;0:1:0;176141199;
8;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[847550, 313975];61493;0:2:1;176141199;
9;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[640354, 81217];111702;0:3:2;176141199;
10;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[725741, 589063];83968;0:3:2;176141199;
11;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[586376, 363008];239127;0:9:8;176141199;
12;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[821489, 771744];57982;0:2:1;176141199;
13;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[37236, 105166];59700540;3:444:1524;176141199;
14;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[227268, 913903];20260071;0:432:431;176141199;
15;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[730060, 735630];42198;0:1:0;176141199;
16;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[39249, 968105];129988053882;9:73919:105237;179867975;
17;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[241177, 547334];21125516;0:498:497;179867975;
18;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[199881, 455527];783834;0:22:21;179867975;
19;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[734802, 137354];123083;0:3:2;179867975;
20;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[511574, 129757];213211;0:6:5;179867975;
21;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[653476, 611212];41186;0:1:0;179867975;
22;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[782955, 917467];41812;0:1:0;179867975;
23;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[312198, 134628];1227266;0:34:33;179867975;
24;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[952917, 714869];41915;0:1:0;179867975;
25;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[132612, 228526];48666956;0:1442:1443;180947335;
26;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[952771, 197927];65917;0:1:0;180947335;
27;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[559269, 797781];115478;0:3:2;180947335;
28;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[13056, 664687];39895939654;4:12539:46506;148973655;
29;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[536906, 260204];320202;0:8:7;148973655;
30;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[99130, 69641];1099318;0:74:73;148973655;
31;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[795835, 299479];49498;0:3:2;148973655;
