id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];388344379;DONE;-48464560;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];1479478;DONE;24499247;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];14476;DONE;24499247;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3434119061;DONE;19632983;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];150919467;DONE;19851559;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];537098326057;DONE;204518855;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];27713495623;DONE;204518855;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3501446428;DONE;19200991;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1352121;DONE;20276551;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];3686974;1000;130680399;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1976749;DONE;130680399;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5744636740;DONE;119588255;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1288902;DONE;120664719;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];29845305;1000;157357519;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];709109;DONE;157357519;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5707638896;DONE;119588575;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1791458;DONE;120664447;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];9215726;1000;146674807;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];98896;DONE;146674807;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5589704808;DONE;119588959;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1819697;DONE;120664447;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];29815377;1000;145592911;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];94471;DONE;145592911;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5599982588;DONE;119589255;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1767375;DONE;120664743;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[790067];880353;DNE;141191007;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[537113];634181;v[582770];141191007;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[667194];42975;v[709652];141191007;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[630274];37933;v[655759];141191007;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[61435];37002;v[67644];141191007;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[14451];40213;v[52506];141191007;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[406536];36285;v[520486];141191007;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[191614];33743;v[244372];141191007;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[672010];36478;v[793646];141191007;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[836881];38068;v[956770];141191007;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[140347];33129;v[144783];141191007;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[762357];19760;DNE;141191007;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[485107];18507;DNE;141191007;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[591767];32564;v[730579];141191007;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[701751];42993;v[751455];141191007;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[319986];31470;v[879347];141191007;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[396093];20348;DNE;141191007;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[775895];18722;DNE;141191007;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[3099];40577;v[3428];141191007;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[812254];32082;v[874680];141191007;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[637712];32832;v[676759];141191007;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[672987];25933;DNE;141191007;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[306312];31812;v[359082];141191007;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[812206];32579;v[880652];141191007;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[109940];32288;v[114453];141191007;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[602224];41812;v[714273];141191007;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[216621];32120;v[251837];141191007;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[26894];31904;v[57505];141191007;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[778829];39399;v[902195];141191007;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[34623];48640;v[51895];141191007;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[522785];19120;DNE;141191007;
