id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];80535;DONE;20444191;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];7856;DONE;20444191;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2154;DONE;20444191;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3393907354;DONE;19390063;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];71977;DONE;20472199;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];17834107523;DONE;160177911;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1659;DONE;160177911;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3444854296;DONE;19390095;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10183;DONE;20469551;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];94380;1000;20469551;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1823;DONE;20469551;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3399317375;DONE;19390095;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9306;DONE;20469551;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];145869;1000;20469551;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1701;DONE;20469551;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3399968504;DONE;19390095;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9711;DONE;20469551;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];901995;1000;20469551;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2699;DONE;20469551;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3396622948;DONE;19390095;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10329;DONE;20469551;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];143964;1000;20469551;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1845;DONE;20469551;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3398571594;DONE;19390095;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9513;DONE;20469551;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];11208;v[0];20469551;
