id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];44111;DONE;20444495;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];3194;DONE;20444495;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];904;DONE;20444495;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3450111606;DONE;19395463;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];72203;DONE;20472567;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];18369478874;DONE;160234743;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1985;DONE;160234743;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3467877923;DONE;19395495;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9233;DONE;20470375;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];94869;1000;20470375;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1661;DONE;20470375;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424016092;DONE;19395495;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8999;DONE;20470375;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];147165;1000;20470375;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1669;DONE;20470375;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3421625486;DONE;19395495;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9378;DONE;20470375;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];411560;1000;53859263;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1669;DONE;53859263;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3425722372;DONE;19395495;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9158;DONE;20470335;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];75916;1000;48486079;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1889;DONE;48486079;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3430638901;DONE;19395495;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9349;DONE;20470311;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];5555;DNE;20470311;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2760;DNE;20470311;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2544;DNE;20470311;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2667;DNE;20470311;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2527;DNE;20470311;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2591;DNE;20470311;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2555;DNE;20470311;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2599;DNE;20470311;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2590;DNE;20470311;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2570;DNE;20470311;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2547;DNE;20470311;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2548;DNE;20470311;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2661;DNE;20470311;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2454;DNE;20470311;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2532;DNE;20470311;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2524;DNE;20470311;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2559;DNE;20470311;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2547;DNE;20470311;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2556;DNE;20470311;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2483;DNE;20470311;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2553;DNE;20470311;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2582;DNE;20470311;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2571;DNE;20470311;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2586;DNE;20470311;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2526;DNE;20470311;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2477;DNE;20470311;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];2532;DNE;20470311;
