id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];14684813;DONE;0;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];29555;DONE;29715479;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];13201;DONE;30073831;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3392782465;DONE;19923295;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];57766;DONE;20281575;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];19154907630;DONE;164298415;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1529;DONE;164298415;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3431242277;DONE;19418567;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8320;DONE;20498319;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];136955;1000;20498319;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1667;DONE;20498319;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3367826592;DONE;19418847;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8485;DONE;20498599;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];172605;1000;20498599;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1662;DONE;20498599;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3368199914;DONE;19419127;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6309;DONE;20498879;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];453970;1000;62678551;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1293;DONE;62678551;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3401775065;DONE;19417943;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8098;DONE;20495951;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];103350;1000;58292199;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1277;DONE;58292199;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3371952285;DONE;19418223;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8028;DONE;20495103;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];1003183;v[332824];20495103;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];18753;v[602255];20495103;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17296;v[856470];20495103;
